Store,e_nom_opt
EN_NorthEast_Battery,650.6801830152506
EN_NorthWest_Battery,1612.3152964946296
EN_Yorkshire_Battery,1661.2459699515953
EN_EastMidlands_Battery,2238.5882035866507
EN_WestMidlands_Battery,1249.6264181568831
EN_East_Battery,2054.8545393297704
EN_London_Battery,134.06852313163478
EN_SouthEast_Battery,2171.345214718012
EN_SouthWest_Battery,3924.2414494614754
EN_Wales_Battery,1744.107310871767
Scotland_Battery,872.0536554358835
NorthernIreland_Battery,486.8732358464509
EN_NorthEast_OtherStorage,272.8071672087333
EN_NorthWest_OtherStorage,279.0985305437461
EN_Yorkshire_OtherStorage,396.8355049529321
EN_EastMidlands_OtherStorage,305.6269994322954
EN_WestMidlands_OtherStorage,10.620068136175066
EN_East_OtherStorage,243.08140768230092
EN_London_OtherStorage,6.003386435568301
EN_SouthEast_OtherStorage,67.16227345060133
EN_SouthWest_OtherStorage,316.2470675684706
EN_Wales_OtherStorage,948.7412027054118
Scotland_OtherStorage,7273.682554074823
NorthernIreland_OtherStorage,1080.0938378089415
