snapshot,Biogas,Biogas_CHP,Biomass,Biomass_CHP,CCGT,Hydro,Oil,PV,SCGT,Wind,Wind offshore,demand
2030-10-26 01:00:00,120.422118817,7.31931801806,104.920113456,19.2517350463,0.0,1.9133583746,0.0,0.0,0.0,180.675279832,1999.8881173,1915.9115019104813
2030-10-26 02:00:00,120.422118817,7.37249121709,104.920113456,19.391594571,0.0,1.9133583746,0.0,0.0,0.0,164.121786361,1923.83034405,1845.1596869353782
2030-10-26 03:00:00,120.422118817,7.12232687733,104.920113456,18.7335964385,0.0,1.9133583746,0.0,0.0,0.0,148.299726309,1842.56768682,1785.7256264888088
2030-10-26 04:00:00,120.422118817,6.48074093508,104.920113456,17.0460563509,0.0,1.9133583746,0.0,0.0,0.0,129.360016662,1767.60604545,1762.983121619554
2030-10-26 05:00:00,120.422118817,5.7115244945,104.920113456,15.0228144217,1249.3621761610987,1.9133583746,0.0,0.0,0.0,110.656394271,1733.04818435,1902.385985560848
2030-10-26 06:00:00,120.422118817,5.76918505703,104.920113456,15.1744768948,0.0,1.9133583746,0.0,0.0,0.0,94.9367424346,1733.18389848,2261.155400714294
2030-10-26 07:00:00,120.422118817,7.61770710647,104.920113456,20.0365769751,5445.5534050179995,1.9133583746,0.0,0.0,0.0,82.5624641934,1768.3234602,2655.6905573695462
2030-10-26 08:00:00,120.422118817,7.95705882498,104.920113456,20.9291614148,2441.0838923921397,1.9133583746,0.0,181.473969144,0.0,70.8966518948,1799.94643,2853.431942516209
2030-10-26 09:00:00,120.422118817,8.50294453614,104.920113456,22.3649846774,1010.6210977531025,1.9133583746,0.0,396.768023539,0.0,53.7868444583,1861.91930688,2928.2427025743955
2030-10-26 10:00:00,120.422118817,8.69277236267,104.920113456,22.8642818813,0.0,1.9133583746,0.0,539.561661883,0.0,46.6411727445,1909.90940651,2936.8288384466987
2030-10-26 11:00:00,120.422118817,8.92108447725,104.920113456,23.4648029035,2587.654556285893,1.9133583746,0.0,574.812267102,0.0,39.3391478536,2011.87271265,2932.508298612823
2030-10-26 12:00:00,120.422118817,8.4506852772,104.920113456,22.227529056,5018.0625883688635,1.9133583746,0.0,491.402935191,0.0,31.6610116245,2049.94731358,2913.4806171604305
2030-10-26 13:00:00,120.422118817,7.02652784191,104.920113456,18.4816197321,1358.613551105612,1.9133583746,0.0,395.429085537,0.0,21.7025393566,1945.76212447,2884.2836622155064
2030-10-26 14:00:00,120.422118817,7.6593696006,104.920113456,20.1461603128,5445.5534050179995,1.9133583746,0.0,311.27445593,0.0,16.8719897431,1726.25907372,2874.1308496171578
2030-10-26 15:00:00,120.422118817,8.64691891804,104.920113456,22.7436752394,5152.6824489053,1.9133583746,0.0,183.888427421,0.0,13.8456551035,1506.93558744,2943.9842111922194
2030-10-26 16:00:00,120.422118817,7.89691168671,104.920113456,20.7709585922,5445.5534050179995,1.9133583746,0.0,60.8945390784,0.0,12.1615165357,1296.91256955,3120.416523930601
2030-10-26 17:00:00,120.422118817,8.59132501283,104.920113456,22.5974486196,5445.5534050179995,1.9133583746,0.0,0.0,0.0,16.1947878592,1061.50453584,3218.8384346929433
2030-10-26 18:00:00,120.422118817,8.40202414275,104.920113456,22.09953745,5445.5534050179995,1.9133583746,0.0,0.0,0.0,19.2779593614,877.919542978,3190.164891694121
2030-10-26 19:00:00,120.422118817,7.79585955421,104.920113456,20.5051648563,5445.5534050179995,1.9133583746,0.0,0.0,0.0,27.7953007258,736.720917326,3094.149830594679
2030-10-26 20:00:00,120.422118817,7.14012812482,104.920113456,18.7804184101,5445.5534050179995,1.9133583746,0.0,0.0,0.0,35.3001128894,662.469788439,2941.689918454404
2030-10-26 21:00:00,120.422118817,6.99718295474,104.920113456,18.4044349463,5445.5534050179995,1.9133583746,0.0,0.0,0.0,43.015516591,646.446908847,2711.090586518822
2030-10-26 22:00:00,120.422118817,4.90435072232,104.920113456,12.8997347085,5445.5534050179995,1.9133583746,0.0,0.0,0.0,43.0578010555,879.933446271,2396.470624229944
2030-10-26 23:00:00,120.422118817,2.45976682748,104.920113456,6.46983491105,3070.36663200808,1.9133583746,0.0,0.0,0.0,52.5242732026,934.806925045,2123.279173486169
2030-10-27 00:00:00,120.422118817,2.29974497502,104.920113456,6.04893527291,1130.1248683627769,1.9133583746,0.0,0.0,0.0,62.1485373866,931.825745069,2085.0467447466626
2030-10-27 01:00:00,120.422118817,2.32211592295,104.920113456,6.10777676078,371.1538423258353,1.9133583746,0.0,0.0,0.0,69.0034856383,919.093617549,2041.659164349326
2030-10-27 02:00:00,120.422118817,2.41455561102,104.920113456,6.35091749849,0.0,1.9133583746,0.0,0.0,0.0,80.1595353926,1010.09630362,1960.2166659362351
2030-10-27 03:00:00,120.422118817,2.44903008986,104.920113456,6.44159446195,0.0,1.9133583746,0.0,0.0,0.0,86.0377858909,1074.3949105,1889.3095846889776
2030-10-27 04:00:00,120.422118817,2.40876732379,104.920113456,6.33569277785,0.0,1.9133583746,0.0,0.0,0.0,95.708277153,1093.71001414,1828.714141424478
2030-10-27 05:00:00,120.422118817,2.69164413178,104.920113456,7.07973332161,0.0,1.9133583746,0.0,0.0,0.0,108.18672718,1122.29937842,2234.4549405722105
2030-10-27 06:00:00,120.422118817,2.46035141979,104.920113456,6.47137254286,1741.4431348907065,1.9133583746,0.0,0.0,0.0,120.402006395,1191.37028547,2430.0975617106046
2030-10-27 07:00:00,120.422118817,2.95469420343,104.920113456,7.7716243244,1814.1775753493425,1.9133583746,0.0,0.0,0.0,132.826881209,1297.50516574,2224.440266018286
2030-10-27 08:00:00,120.422118817,3.29668070417,104.920113456,8.67113893567,0.0,1.9133583746,0.0,23.8941678697,0.0,148.482128191,1458.70416397,2436.5749235714193
2030-10-27 09:00:00,120.422118817,4.12812740773,104.920113456,10.8580628543,0.0,1.9133583746,0.0,101.365618307,0.0,160.507679635,1650.32696525,2610.0033455660105
