snapshot,Biogas,Biogas_CHP,Biomass,Biomass_CHP,CCGT,Hydro,Oil,PV,SCGT,Wind,Wind offshore,demand
2030-06-02 14:00:00,74.2199208944,0.414899158957,35.547149382,0.923701783145,843.131468482008,4.02492714709,0.0,230.933132174,0.0,140.926805769,21.9208000784,852.0428048689246
2030-06-02 15:00:00,74.2199208944,0.461525165116,35.547149382,1.02750658511,836.6325899899841,4.02492714709,0.0,188.739536862,0.0,157.914051959,63.4604077363,862.0276157208721
2030-06-02 16:00:00,74.2199208944,0.459352433714,35.547149382,1.02266937147,878.6426968391258,4.02492714709,0.0,140.502296486,0.0,164.822780989,95.9711722092,895.2129657524304
2030-06-02 17:00:00,74.2199208944,0.431058728261,35.547149382,0.959678291313,922.563061991036,4.02492714709,0.0,86.7363213369,0.0,176.623736878,97.160949123,898.2668037718604
2030-06-02 18:00:00,74.2199208944,0.444141386016,35.547149382,0.988804583896,955.196324834898,4.02492714709,0.0,34.9082720876,0.0,187.334868587,79.1662003021,871.8306092046588
2030-06-02 19:00:00,74.2199208944,0.415570064483,35.547149382,0.925195439175,956.8040109569017,4.02492714709,0.0,7.71006215085,0.0,193.034884503,74.9222531441,847.6039736820736
2030-06-02 20:00:00,74.2199208944,0.414077878055,35.547149382,0.921873342143,908.5960072419479,4.02492714709,0.0,0.112652144364,0.0,198.337466163,111.653913082,833.8279872753221
2030-06-02 21:00:00,74.2199208944,0.415423544885,35.547149382,0.924869238433,830.3469896861918,4.02492714709,0.0,0.0,0.0,210.727120546,148.458808591,804.6652090302659
2030-06-02 22:00:00,74.2199208944,0.314714456206,35.547149382,0.70065773358,707.2726438087236,4.02492714709,0.0,0.0,0.0,237.156703066,189.098019979,748.3347364669069
2030-06-02 23:00:00,74.2199208944,0.275021140481,35.547149382,0.61228737726,534.6238474323688,4.02492714709,0.0,0.0,0.0,219.127104194,139.868614719,697.3152939030409
2030-06-03 00:00:00,74.2199208944,0.39705461428,35.547149382,0.883973966442,776.250432123788,4.02492714709,0.0,0.0,0.0,201.320315093,102.406587292,695.0503605133985
2030-06-03 01:00:00,74.2199208944,0.409200317766,35.547149382,0.911014291121,804.5170173464229,4.02492714709,0.0,0.0,0.0,180.6824533,80.7762630562,681.0879457349664
2030-06-03 02:00:00,74.2199208944,0.289671172352,35.547149382,0.644903159361,839.1655155397968,4.02492714709,0.0,0.0,0.0,158.053042505,53.230581209,665.17571100929
2030-06-03 03:00:00,74.2199208944,0.435147781768,35.547149382,0.968781867288,862.548861676154,4.02492714709,0.0,0.0,0.0,144.026405212,29.6010761343,651.3722700953408
2030-06-03 04:00:00,74.2199208944,0.433435815943,35.547149382,0.964970469143,873.13268099976,4.02492714709,0.0,0.00356069706364,0.0,142.685841232,13.9097086806,644.9221953180233
2030-06-03 05:00:00,74.2199208944,0.427667570732,35.547149382,0.952128460978,904.61764340485,4.02492714709,0.0,6.91008591453,0.0,134.782669821,7.11627901742,668.5984716131145
2030-06-03 06:00:00,74.2199208944,0.384515621349,35.547149382,0.856058050298,940.2533404278329,4.02492714709,0.0,29.4259248745,0.0,143.895591048,4.81396994853,733.4213973937144
2030-06-03 07:00:00,74.2199208944,0.462890110841,35.547149382,1.03054540255,976.9064311804891,4.02492714709,0.0,72.1569871082,0.0,144.874633361,1.86836347843,811.0918480649215
2030-06-03 08:00:00,74.2199208944,0.453308500313,35.547149382,1.00921359086,986.4044382729248,4.02492714709,0.0,117.441034478,0.0,144.317908715,0.701925860412,864.1198268410403
2030-06-03 09:00:00,74.2199208944,0.421064549393,35.547149382,0.937427967006,989.7026272803839,4.02492714709,0.0,151.98035376,0.0,138.549023556,0.504692996727,895.8871875331988
2030-06-03 10:00:00,74.2199208944,0.452097785743,35.547149382,1.00651814262,999.031632591147,4.02492714709,0.0,175.073743467,0.0,121.160262484,0.0,910.5162518939579
