snapshot,Biogas,Biogas_CHP,Biomass,Biomass_CHP,CCGT,Hydro,Oil,PV,SCGT,Wind,Wind offshore,demand
2030-01-01 00:00:00,58.1939851592,2.14992374625,121.20692257,10.5480795377,62.8816790417,0.0,0.0,0.0,0.0,0.228953307584,0.0,4751.008034180069
2030-01-01 01:00:00,58.1939851592,2.1539701452,121.20692257,10.567932213,62.8816790417,0.0,0.0,0.0,0.0,0.23871957009,0.0,4633.0957673945495
2030-01-01 02:00:00,58.1939851592,2.13556916344,121.20692257,10.4776522579,62.8816790417,0.0,0.0,0.0,0.0,0.267514708184,0.0,4472.7317137859645
2030-01-01 03:00:00,58.1939851592,2.11121389513,121.20692257,10.3581590397,62.8816790417,0.0,0.0,0.0,0.0,0.285928282637,0.0,4328.8247585526315
2030-01-01 04:00:00,58.1939851592,2.11155633649,121.20692257,10.3598391452,62.8816790417,0.0,0.0,0.0,0.0,0.297480114251,0.0,4230.5313329547525
2030-01-01 05:00:00,58.1939851592,2.11035429742,121.20692257,10.353941632,62.8816790417,0.0,0.0,0.0,0.0,0.298058952855,0.0,4257.695567618196
2030-01-01 06:00:00,58.1939851592,2.11245087719,121.20692257,10.3642279922,62.8816790417,0.0,0.0,0.0,0.0,0.317227778437,0.0,4448.355327132149
2030-01-01 07:00:00,58.1939851592,2.10994197007,121.20692257,10.3519186478,62.8816790417,0.0,0.0,0.0,0.0,0.346411118391,0.0,4742.342592597097
2030-01-01 08:00:00,58.1939851592,2.27848601765,121.20692257,11.1788391479,62.8816790417,0.0,0.0,0.0,0.0,0.353512107186,0.0,5197.539879342517
2030-01-01 09:00:00,58.1939851592,2.34387135202,121.20692257,11.4996364361,62.8816790417,0.0,0.0,1.34331607956,565.935111376,0.356066526896,0.0,5665.689307493788
2030-01-01 10:00:00,58.1939851592,3.37991721035,121.20692257,16.5827442149,62.8816790417,0.0,0.0,7.86708993035,565.935111376,0.350887865176,0.0,5969.708325965356
2030-01-01 11:00:00,58.1939851592,3.44491817176,121.20692257,16.9016556703,62.8816790417,0.0,0.0,11.3840705204,565.935111376,0.313750959608,0.0,6132.857364056635
2030-01-01 12:00:00,58.1939851592,3.44086478421,121.20692257,16.8817687072,62.8816790417,0.0,0.0,12.1468616096,0.0,0.283545238873,0.0,6211.751621890376
2030-01-01 13:00:00,58.1939851592,3.43619639993,121.20692257,16.8588644117,62.8816790417,0.0,0.0,11.6980282844,565.935111376,0.230045133507,0.0,6193.283918530923
2030-01-01 14:00:00,58.1939851592,3.43954393896,121.20692257,16.8752883002,62.8816790417,0.0,0.0,8.25877716951,565.935111376,0.224287928863,0.0,6154.733891695507
2030-01-01 15:00:00,58.1939851592,3.43842576308,121.20692257,16.8698022414,62.8816790417,0.0,0.0,2.84332114516,565.935111376,0.230330224772,0.0,6239.69759940729
2030-01-01 16:00:00,58.1939851592,3.44506493235,121.20692257,16.9023757156,62.8816790417,0.0,0.0,0.0,565.935111376,0.261386685555,0.0,6483.33506168499
2030-01-01 17:00:00,58.1939851592,3.73955751521,121.20692257,18.3472321635,62.8816790417,0.0,0.0,0.0,565.935111376,0.310128578492,0.0,6671.496598485106
2030-01-01 18:00:00,58.1939851592,3.49306962044,121.20692257,17.1378990773,62.8816790417,0.0,0.0,0.0,565.935111376,0.374754254246,0.0,6663.301593470156
2030-01-01 19:00:00,58.1939851592,3.45875559824,121.20692257,16.969545648,62.8816790417,0.0,0.0,0.0,565.935111376,0.432166610395,0.0,6464.102387558404
2030-01-01 20:00:00,58.1939851592,3.46937128046,121.20692257,17.0216289187,62.8816790417,0.0,0.0,0.0,565.935111376,0.468599780184,0.0,6103.213315066799
2030-01-01 21:00:00,58.1939851592,3.47426329992,121.20692257,17.0456304259,62.8816790417,0.0,0.0,0.0,565.935111376,0.486654631198,0.0,5687.3572067416235
2030-01-01 22:00:00,58.1939851592,3.47656953767,121.20692257,17.0569454222,62.8816790417,0.0,0.0,0.0,0.0,0.417934335532,0.0,5229.606472120032
2030-01-01 23:00:00,58.1939851592,3.47782049693,121.20692257,17.0630829505,62.8816790417,0.0,0.0,0.0,0.0,0.443000385717,0.0,4847.869287234778
2030-01-02 00:00:00,58.1939851592,3.53372929075,121.20692257,17.3373858903,62.8816790417,0.0,0.0,0.0,0.0,0.452183205618,0.0,4538.197666591963
2030-01-02 01:00:00,58.1939851592,3.53337287219,121.20692257,17.3356372091,62.8816790417,0.0,0.0,0.0,0.0,0.490236965148,0.0,4426.149084820386
2030-01-02 02:00:00,58.1939851592,3.53561621254,121.20692257,17.3466436145,62.8816790417,0.0,0.0,0.0,0.0,0.536463130885,0.0,4271.285866455448
2030-01-02 03:00:00,58.1939851592,3.53792245029,121.20692257,17.3579586108,62.8816790417,0.0,0.0,0.0,0.0,0.596432257004,0.0,4136.653465891859
2030-01-02 04:00:00,58.1939851592,3.24327611824,121.20692257,15.9123478298,62.8816790417,0.0,0.0,0.0,0.0,0.6623831666,0.0,4055.402116314687
2030-01-02 05:00:00,58.1939851592,2.76456405974,121.20692257,13.563663195,62.8816790417,0.0,0.0,0.0,0.0,0.687606542846,0.0,4162.591701951509
2030-01-02 06:00:00,58.1939851592,3.536951035,121.20692257,17.3531925972,62.8816790417,0.0,0.0,0.0,0.0,0.6851908029,0.0,4550.241660883889
2030-01-02 07:00:00,58.1939851592,2.79331515696,121.20692257,13.7047234819,62.8816790417,0.0,0.0,0.0,0.0,0.679180344904,0.0,5047.052948286021
