snapshot,Biogas,Biogas_CHP,Biomass,Biomass_CHP,CCGT,Hydro,PV,Wind,Wind offshore,demand
2030-04-27 03:00:00,67.1688820709,0.148386838857,110.938928689,4.54874421584,134.07271820376013,62.0548206035,0.0,395.2514314,1048.48108173,1444.2098641571927
2030-04-27 04:00:00,67.1688820709,0.144590904874,110.938928689,4.43238124941,4998.045455829,62.0548206035,0.0,378.049949074,1118.09203483,1489.3005471614651
2030-04-27 05:00:00,67.1688820709,0.169310062316,110.938928689,5.19013797027,4998.045455829,62.0548206035,0.0575476557771,337.546812308,1222.08636068,1715.9838416235286
2030-04-27 06:00:00,67.1688820709,0.189701911246,110.938928689,5.81524263311,3026.733513507836,62.0548206035,42.9056795266,312.938591832,1280.49493563,2012.50197970232
2030-04-27 07:00:00,67.1688820709,0.206292203183,110.938928689,6.32381195819,4998.045455829,62.0548206035,112.96184945,295.299022998,1293.77061261,2176.06835844944
2030-04-27 08:00:00,67.1688820709,0.179423850658,110.938928689,5.50017244891,4998.045455829,62.0548206035,160.980244664,297.543414792,1349.47098635,2248.7968651261513
2030-04-27 09:00:00,67.1688820709,0.18075047958,110.938928689,5.54083977281,4998.045455829,62.0548206035,196.662891922,279.384440274,1516.6140244,2272.846262500284
2030-04-27 10:00:00,67.1688820709,0.162671696336,110.938928689,4.98664129171,4998.045455829,62.0548206035,251.635004259,276.207868679,1490.9766289,2295.184256562916
2030-04-27 11:00:00,67.1688820709,0.120771429173,110.938928689,3.70220394288,4998.045455829,62.0548206035,313.190617841,287.135302546,1514.80587071,2306.350347985893
2030-04-27 12:00:00,67.1688820709,0.115383379826,110.938928689,3.53703526289,4998.045455829,62.0548206035,366.172892697,291.263637496,1598.96942568,2282.1787536388497
2030-04-27 13:00:00,67.1688820709,0.0886435532631,110.938928689,2.71733566994,4998.045455829,62.0548206035,392.241591578,279.457322708,1641.33119313,2251.7877046427966
2030-04-27 14:00:00,67.1688820709,0.107746527773,110.938928689,3.30293035932,4998.045455829,62.0548206035,388.122173275,272.813024183,1640.59284748,2229.864889727229
