snapshot,Biogas,Biogas_CHP,Biomass,Biomass_CHP,Hydro,Nuclear,PV,SCGT,SCGT_CHP,Wind,Wind offshore,demand
2030-01-01 00:00:00,55.1867269055,2.65651497382,349.367618054,3.67447405927,2.98564353422,0.0,0.0,0.0,0.0,12.3438878508,33.9891090034,1401.189157486753
2030-01-01 01:00:00,55.1867269055,2.66151483459,349.367618054,3.68138983384,2.98564353422,0.0,0.0,0.0,0.0,12.8704303602,33.6326868958,1366.4139290371404
2030-01-01 02:00:00,55.1867269055,2.6387779893,349.367618054,3.64994037882,2.98564353422,0.0,0.0,0.0,0.0,14.4229039148,32.9010729008,1319.1186242196325
2030-01-01 03:00:00,55.1867269055,2.60868383593,349.367618054,3.60831434359,2.98564353422,0.0,0.0,0.0,0.0,15.4156613481,32.887574558,1276.6769226040562
2030-01-01 04:00:00,55.1867269055,2.6091069675,349.367618054,3.60889961639,2.98564353422,0.0,0.0,0.0,0.0,16.0384718042,33.6017002655,1247.6877730995454
2030-01-01 05:00:00,55.1867269055,2.60762168934,349.367618054,3.6068451894,2.98564353422,0.0,0.0,0.0,0.0,16.0696795596,33.6487312758,1255.6991742186367
2030-01-01 06:00:00,55.1867269055,2.61021229078,349.367618054,3.61042849229,2.98564353422,0.0,0.0,0.0,0.0,17.1031559296,33.2128781937,1311.9294280675101
2030-01-01 07:00:00,55.1867269055,2.60711220439,349.367618054,3.60614047317,2.98564353422,0.0,0.0,0.0,0.0,18.6765591676,32.8941019963,1398.6335055696134
2030-01-01 08:00:00,55.1867269055,2.81537065399,349.367618054,3.89420219245,2.98564353422,0.0,0.0,0.0,0.0,19.0594049549,33.4240013332,1532.8823845688567
2030-01-01 09:00:00,55.1867269055,2.8961628775,349.367618054,4.00595346522,2.98564353422,0.0,5.93378002879,0.0,0.0,19.1971250462,34.3698122099,1670.9511687279198
2030-01-01 10:00:00,55.1867269055,4.17633448405,349.367618054,5.77667842106,2.98564353422,0.0,34.7510030021,0.0,0.0,18.9179204339,34.8867803835,1760.6138570011137
2030-01-01 11:00:00,55.1867269055,4.25665176396,349.367618054,5.88777275497,2.98564353422,0.0,50.2864302218,0.0,0.0,16.9157052124,33.1199883831,1808.7305222610464
2030-01-01 12:00:00,55.1867269055,4.25164326785,349.367618054,5.88084503605,2.98564353422,0.0,53.6558788571,0.0,0.0,15.2871808939,31.7919646795,1831.998379917633
2030-01-01 13:00:00,55.1867269055,4.24587486198,349.367618054,5.87286621495,2.98564353422,0.0,51.673264146,57.6415391216,0.0,12.4027530268,29.9922648143,1826.5517998393036
2030-01-01 14:00:00,55.1867269055,4.25001118894,349.367618054,5.87858755523,2.98564353422,0.0,36.4811884384,0.0,0.0,12.0923566005,28.2670233743,1815.1824484860745
2030-01-01 15:00:00,55.1867269055,4.24862953484,349.367618054,5.87667646036,2.98564353422,0.0,12.559696473,0.0,0.0,12.4181235608,26.2975268799,1840.2403362372936
2030-01-01 16:00:00,55.1867269055,4.25683310606,349.367618054,5.88802358618,2.98564353422,0.0,0.0,0.0,0.0,14.092515047,26.2698835773,1912.0950180322102
2030-01-01 17:00:00,55.1867269055,4.62071761937,349.367618054,6.39134625437,2.98564353422,0.0,0.0,57.6415391216,0.0,16.720406587,26.3573229127,1967.5884845394432
2030-01-01 18:00:00,55.1867269055,4.31614924365,349.367618054,5.970069278,2.98564353422,0.0,0.0,0.0,0.0,20.2046632776,26.4218570515,1965.1715759402814
2030-01-01 19:00:00,55.1867269055,4.27374973345,349.367618054,5.91142255404,2.98564353422,0.0,0.0,57.6415391216,0.0,23.3000179289,26.5022413598,1906.4228292542136
2030-01-01 20:00:00,55.1867269055,4.28686681207,349.367618054,5.92956601101,2.98564353422,0.0,0.0,0.0,0.0,25.2642916346,26.5053892041,1799.9877628866698
2030-01-01 21:00:00,55.1867269055,4.29291154875,349.367618054,5.93792705108,2.98564353422,0.0,0.0,0.0,0.0,26.2377086969,26.0015820121,1677.3415653075842
2030-01-01 22:00:00,55.1867269055,4.29576121034,349.367618054,5.94186868426,2.98564353422,0.0,0.0,0.0,0.0,22.5326928938,27.1287634778,1542.3396117076338
2030-01-01 23:00:00,55.1867269055,4.29730693586,349.367618054,5.94400672165,2.98564353422,0.0,0.0,0.0,0.0,23.8841147868,26.2457515307,1429.755924072796
2030-01-02 00:00:00,55.1867269055,4.36638964087,349.367618054,6.03956146537,2.98564353422,0.0,0.0,0.0,0.0,24.3792013187,27.3466727771,1338.426144349334
2030-01-02 01:00:00,55.1867269055,4.36594923863,349.367618054,6.03895230388,2.98564353422,0.0,0.0,0.0,0.0,26.4308482021,30.5509886496,1305.380260873534
2030-01-02 02:00:00,55.1867269055,4.36872118216,349.367618054,6.04278643797,2.98564353422,0.0,0.0,0.0,0.0,28.9231057355,34.1230942113,1259.7072877054516
2030-01-02 03:00:00,55.1867269055,4.37157084375,349.367618054,6.04672807115,2.98564353422,0.0,0.0,0.0,0.0,32.156307191,38.0135899992,1220.000880442204
2030-01-02 04:00:00,55.1867269055,4.007496353,349.367618054,5.54314262741,2.98564353422,0.0,0.0,0.0,0.0,35.7120131134,43.915982461,1196.0378584393702
2030-01-02 05:00:00,55.1867269055,3.41598432669,349.367618054,4.72496707867,2.98564353422,0.0,0.0,0.0,0.0,37.0719171518,50.5367612629,1227.6507044100108
2030-01-02 06:00:00,55.1867269055,4.37037053175,349.367618054,6.04506780748,2.98564353422,0.0,0.0,0.0,0.0,36.9416739014,55.5780285955,1341.9782145822762
