snapshot,Biogas,Biogas_CHP,Biomass,Biomass_CHP,CCGT,Hydro,Nuclear,PV,SCGT,Wind,Wind offshore,demand
2030-06-01 22:00:00,214.262816583,6.69031520938,156.957433553,5.88655011535,1947.2359943249999,0.0577755610487,1908.30401319,0.0,0.0,10.3330390522,184.128452885,2442.73110635566
2030-06-01 23:00:00,214.262816583,4.39284550538,156.957433553,3.86509520212,0.0,0.0577755610487,1908.30401319,0.0,0.0,8.13273631893,173.228347299,2268.6693780883884
2030-06-02 00:00:00,214.262816583,3.45640935678,156.957433553,3.04116118017,0.0,0.0577755610487,1908.30401319,0.0,0.0,6.73608805541,167.64553976,2198.611231718459
2030-06-02 01:00:00,214.262816583,3.19334064887,156.957433553,2.80969717819,0.0,0.0577755610487,1908.30401319,0.0,0.0,5.44610563598,165.800809701,2160.188995231473
2030-06-02 02:00:00,214.262816583,2.74669011475,156.957433553,2.41670661333,1947.2359943249999,0.0577755610487,1908.30401319,0.0,0.0,4.66814607735,166.61063558,2128.775052199101
2030-06-02 03:00:00,214.262816583,2.55974653132,156.957433553,2.25222217005,0.0,0.0577755610487,1908.30401319,0.0,0.0,4.37526200852,166.010614259,2107.0156812732466
2030-06-02 04:00:00,214.262816583,2.45801228743,156.957433553,2.16271013566,0.0,0.0577755610487,1908.30401319,0.0,0.0,4.26701823854,168.307924763,2104.08250765014
2030-06-02 05:00:00,214.262816583,3.14736675132,156.957433553,2.76924652026,0.0,0.0577755610487,1908.30401319,18.5995483533,0.0,4.21855667838,169.322187113,2239.036240169363
2030-06-02 06:00:00,214.262816583,3.25558545135,156.957433553,2.86446397731,1947.2359943249999,0.0577755610487,1908.30401319,148.705629608,0.0,3.81526567896,157.528117659,2583.0733095195787
2030-06-02 07:00:00,214.262816583,3.54666880271,156.957433553,3.12057698275,1947.2359943249999,0.0577755610487,1908.30401319,469.090836273,0.0,3.2285114844,141.841783418,2966.4478060896595
2030-06-02 08:00:00,214.262816583,3.35557158148,156.957433553,2.95243791389,1947.2359943249999,0.0577755610487,1908.30401319,794.202241033,0.0,3.50066020072,126.118350181,3066.4297880813942
2030-06-02 09:00:00,214.262816583,3.39147514854,156.957433553,2.98402807671,1947.2359943249999,0.0577755610487,1908.30401319,1053.08446341,0.0,4.11283398491,112.308955222,3028.8362653943873
2030-06-02 10:00:00,214.262816583,3.46136981632,156.957433553,3.04552569705,1947.2359943249999,0.0577755610487,1908.30401319,1225.52678936,0.0,5.41022638111,94.0717105997,2957.1846336517588
2030-06-02 11:00:00,214.262816583,3.4652395724,156.957433553,3.04893054606,1947.2359943249999,0.0577755610487,1908.30401319,1308.92761952,0.0,8.23015122038,71.6056572754,2912.9932308366406
2030-06-02 12:00:00,214.262816583,3.45401877388,156.957433553,3.03905779854,0.0,0.0577755610487,1908.30401319,1314.89594757,0.0,14.1011253606,58.9089879861,2874.889860434487
2030-06-02 13:00:00,214.262816583,3.2145271899,156.957433553,2.82833839786,0.0,0.0577755610487,1908.30401319,1265.29580712,0.0,21.8411651459,54.258900396,2844.3398416796595
2030-06-02 14:00:00,214.262816583,3.21546848192,156.957433553,2.82916660438,0.0,0.0577755610487,1908.30401319,1139.38521058,0.0,27.6926034241,55.3598543309,2836.7715607898463
2030-06-02 15:00:00,214.262816583,3.57682002965,156.957433553,3.14710588353,1947.2359943249999,0.0577755610487,1908.30401319,931.209112038,0.0,31.0306558934,58.9063118425,2870.014758552695
2030-06-02 16:00:00,214.262816583,3.55998136129,156.957433553,3.13229018919,1947.2359943249999,0.0577755610487,1908.30401319,693.214685832,0.0,32.3882449777,65.0727596437,2980.501293579375
2030-06-02 17:00:00,214.262816583,3.34070514402,156.957433553,2.93935750939,1947.2359943249999,0.0577755610487,1908.30401319,427.942412685,0.0,34.7071735141,65.9215848902,2990.6686710811546
2030-06-02 18:00:00,214.262816583,3.44209574162,156.957433553,3.02856718268,1947.2359943249999,0.0577755610487,1908.30401319,172.231539793,0.0,36.8119478402,63.843768802,2902.6526177852393
2030-06-02 19:00:00,214.262816583,3.22066799974,156.957433553,2.83374145942,1947.2359943249999,0.0577755610487,1908.30401319,38.0401491317,0.0,37.9320206284,66.9650762246,2821.993019146104
2030-06-02 20:00:00,214.262816583,3.20910355492,156.957433553,2.82356635079,1947.2359943249999,0.0577755610487,1908.30401319,0.555806722149,0.0,38.9739962145,71.4294701714,2776.127569385618
2030-06-02 21:00:00,214.262816583,3.21953247286,156.957433553,2.83274235314,1947.2359943249999,0.0577755610487,1908.30401319,0.0,0.0,41.4086060357,70.2734961074,2679.033691605706
2030-06-02 22:00:00,214.262816583,2.4390370356,156.957433553,2.14601454399,1947.2359943249999,0.0577755610487,1908.30401319,0.0,0.0,46.6021101628,62.9510841223,2491.4883222176363
2030-06-02 23:00:00,214.262816583,2.13141383873,156.957433553,1.87534876692,1947.2359943249999,0.0577755610487,1908.30401319,0.0,0.0,43.0592317961,54.8440660047,2321.625372979081
2030-06-03 00:00:00,214.262816583,3.07717326067,156.957433553,2.70748597722,1947.2359943249999,0.0577755610487,1908.30401319,0.0,0.0,39.5601363178,50.2940886494,2314.0845562617687
2030-06-03 01:00:00,214.262816583,3.17130246269,156.957433553,2.79030662881,1947.2359943249999,0.0577755610487,1908.30401319,0.0,0.0,35.5047252905,48.4675919302,2267.5984162027594
2030-06-03 02:00:00,214.262816583,2.24495158573,156.957433553,1.9752462481,1947.2359943249999,0.0577755610487,1908.30401319,0.0,0.0,31.0579680152,51.047064386,2214.620590815976
2030-06-03 03:00:00,214.262816583,3.3723953087,156.957433553,2.96724046209,1947.2359943249999,0.0577755610487,1908.30401319,0.0,0.0,28.3016854058,58.4203767921,2168.66373465573
2030-06-03 04:00:00,214.262816583,3.35912757356,156.957433553,2.95556669406,1947.2359943249999,0.0577755610487,1908.30401319,0.0175678800849,0.0,28.0382599599,71.1796242648,2147.1890052305134
2030-06-03 05:00:00,214.262816583,3.31442367318,156.957433553,2.91623345762,1947.2359943249999,0.0577755610487,1908.30401319,34.0932010091,0.0,26.4852595175,80.7630960683,2226.0162506171464
2030-06-03 06:00:00,214.262816583,2.97999606545,156.957433553,2.62198351405,1947.2359943249999,0.0577755610487,1908.30401319,145.182561264,0.0,28.2759799713,92.0510616693,2441.836196857859
2030-06-03 07:00:00,214.262816583,3.58739835901,156.957433553,3.15641334723,1947.2359943249999,0.0577755610487,1908.30401319,356.010431146,0.0,28.4683651628,100.20992432,2700.430394612637
2030-06-03 08:00:00,214.262816583,3.51314087743,156.957433553,3.09107705542,1947.2359943249999,0.0577755610487,1908.30401319,579.43430005,0.0,28.3589668497,103.486772149,2876.9805177504095
2030-06-03 09:00:00,214.262816583,3.2632502578,156.957433553,2.87120794466,1947.2359943249999,0.0577755610487,1908.30401319,749.845488791,0.0,27.2253610177,101.406940763,2982.7460319451234
2030-06-03 10:00:00,214.262816583,3.50375783951,156.957433553,3.08282128253,1947.2359943249999,0.0577755610487,1908.30401319,863.784387238,0.0,23.8084094889,61.7067093325,3031.4516996679436
2030-06-03 11:00:00,214.262816583,3.82950464305,156.957433553,3.36943332157,1947.2359943249999,0.0577755610487,1908.30401319,888.034084748,0.0,19.7358631932,50.3011213817,3048.824267614883
2030-06-03 12:00:00,214.262816583,4.22968822189,156.957433553,3.72153940603,1947.2359943249999,0.0577755610487,1908.30401319,793.212312218,0.0,17.6222539077,49.2500193311,3043.7395929706213
