snapshot,Biogas,Biogas_CHP,Biomass,Biomass_CHP,CCGT,Hydro,Nuclear,PV,SCGT,SCGT_CHP,Wind,Wind offshore,demand
2030-04-05 01:00:00,170.69109399,4.2035058767,120.50029013,56.8305280891,0.0,3.76269557687,1975.20615723,0.0,0.0,0.0,148.551290548,486.990488142,3135.996091561233
2030-04-05 02:00:00,170.69109399,3.92335944213,120.50029013,53.0430063666,0.0,3.76269557687,1975.20615723,0.0,0.0,0.0,151.299621653,365.131659869,3083.1332464951324
2030-04-05 03:00:00,170.69109399,4.09674899884,120.50029013,55.3871972306,0.0,3.76269557687,1975.20615723,0.0,0.0,0.0,154.092412844,268.49881316,3063.968240511759
2030-04-05 04:00:00,170.69109399,3.98995195661,120.50029013,53.9433233581,0.0,3.76269557687,1975.20615723,0.0,0.0,0.0,150.258962896,199.722955843,3175.495351772026
2030-04-05 05:00:00,170.69109399,4.63430883829,120.50029013,62.6548948268,0.0,3.76269557687,1975.20615723,0.0,0.0,0.0,145.694472855,133.975016812,3641.635760783799
2030-04-05 06:00:00,170.69109399,4.94963925517,120.50029013,66.9180966967,1063.748403789,3.76269557687,1975.20615723,6.13734108358,0.0,0.0,142.612461996,90.346826105,4228.6222615347715
2030-04-05 07:00:00,170.69109399,5.2766575018,120.50029013,71.339315602,1063.748403789,3.76269557687,1975.20615723,148.878870096,0.0,0.0,144.966411872,77.9997317947,4471.322406356178
2030-04-05 08:00:00,170.69109399,4.72014008283,120.50029013,63.8153154606,1063.748403789,3.76269557687,1975.20615723,376.93519058,0.0,0.0,146.142291155,94.4902738163,4530.358646600003
2030-04-05 09:00:00,170.69109399,4.49321142974,120.50029013,60.7472871119,0.0,3.76269557687,1975.20615723,585.633702211,0.0,0.0,166.843013918,120.450747659,4508.895384065306
2030-04-05 10:00:00,170.69109399,4.98008384261,120.50029013,67.3297012079,0.0,3.76269557687,1975.20615723,742.693244391,0.0,0.0,183.251135695,171.615802298,4501.670188914271
2030-04-05 11:00:00,170.69109399,5.17198917084,120.50029013,69.9242214646,0.0,3.76269557687,1975.20615723,785.656447258,0.0,0.0,203.961047322,213.441640853,4490.182177697218
2030-04-05 12:00:00,170.69109399,4.26760820065,120.50029013,57.6971782209,0.0,3.76269557687,1975.20615723,721.214810704,0.0,0.0,213.545689145,247.59072642,4415.250180967159
2030-04-05 13:00:00,170.69109399,3.98549371228,120.50029013,53.8830488189,0.0,3.76269557687,1975.20615723,597.177271707,0.0,0.0,208.635106501,266.161350884,4345.914479833823
2030-04-05 14:00:00,170.69109399,4.24034061435,120.50029013,57.3285261065,0.0,3.76269557687,1975.20615723,493.283463669,0.0,0.0,195.827009212,272.040851066,4307.815111407103
2030-04-05 15:00:00,170.69109399,4.80424827618,120.50029013,64.9524407995,0.0,3.76269557687,1975.20615723,407.010022853,0.0,0.0,179.39942435,258.948149918,4404.57841887403
2030-04-05 16:00:00,170.69109399,5.2828468302,120.50029013,71.4229940389,0.0,3.76269557687,1975.20615723,284.856734224,0.0,0.0,153.207160889,254.294897188,4486.029285360916
2030-04-05 17:00:00,170.69109399,5.41984747368,120.50029013,73.2752143393,1063.748403789,3.76269557687,1975.20615723,153.343495254,0.0,0.0,114.188903846,265.116137864,4553.892793685575
2030-04-05 18:00:00,170.69109399,5.44981008876,120.50029013,73.6803026841,1063.748403789,3.76269557687,1975.20615723,26.7787043497,0.0,0.0,86.7484787325,306.943441966,4606.054874974747
2030-04-05 19:00:00,170.69109399,5.07431345554,120.50029013,68.6036660414,1063.748403789,3.76269557687,1975.20615723,0.0,0.0,0.0,74.2906284277,430.758579288,4549.019508334894
2030-04-05 20:00:00,170.69109399,5.37008382745,120.50029013,72.6024201581,1063.748403789,3.76269557687,1975.20615723,0.0,0.0,0.0,68.8714682165,601.161075139,4317.676513147544
2030-04-05 21:00:00,170.69109399,5.06897159521,120.50029013,68.531445197,0.0,3.76269557687,1975.20615723,0.0,0.0,0.0,66.8670046032,811.482506363,3943.844883317596
2030-04-05 22:00:00,170.69109399,4.90032143338,120.50029013,66.2513299694,0.0,3.76269557687,1975.20615723,0.0,0.0,0.0,67.1043496303,1168.22294239,3508.805692428001
2030-04-05 23:00:00,170.69109399,4.20114019569,120.50029013,56.7985445723,1063.748403789,3.76269557687,1975.20615723,0.0,0.0,0.0,63.5247409407,1297.17945732,3212.8082420849537
2030-04-06 00:00:00,170.69109399,4.36797894473,120.50029013,59.0541698745,1063.748403789,3.76269557687,1975.20615723,0.0,0.0,0.0,58.4848313112,1260.08767842,3097.071640853739
2030-04-06 01:00:00,170.69109399,4.62880632051,120.50029013,62.580501927,0.0,3.76269557687,1975.20615723,0.0,0.0,0.0,56.3117140468,1214.34067947,3070.0330205755986
2030-04-06 02:00:00,170.69109399,4.72793196933,120.50029013,63.9206601508,1063.748403789,3.76269557687,1975.20615723,0.0,0.0,0.0,53.5850647228,1231.59380135,3006.135599677518
2030-04-06 03:00:00,170.69109399,4.7278516406,120.50029013,63.919574123,0.0,3.76269557687,1975.20615723,0.0,0.0,0.0,50.8759438388,1243.74748803,2979.6645915156123
2030-04-06 04:00:00,170.69109399,4.78042277582,120.50029013,64.6303249736,0.0,3.76269557687,1975.20615723,0.0,0.0,0.0,52.3986021914,1217.40202311,3080.001401660137
2030-04-06 05:00:00,170.69109399,5.11904852347,120.50029013,69.2084748864,0.0,3.76269557687,1975.20615723,0.0,0.0,0.0,56.7947770775,1173.08569027,3523.9146436464866
2030-04-06 06:00:00,170.69109399,4.60269546788,120.50029013,62.227488612,0.0,3.76269557687,1975.20615723,8.06380364201,0.0,0.0,62.2878560277,1154.32985772,4115.569304216799
2030-04-06 07:00:00,170.69109399,4.88927221702,120.50029013,66.1019468546,0.0,3.76269557687,1975.20615723,92.1856089388,0.0,0.0,66.8918323806,1169.70368383,4391.491606266753
2030-04-06 08:00:00,170.69109399,4.92658491059,120.50029013,66.6064067371,0.0,3.76269557687,1975.20615723,200.97606557,0.0,0.0,71.2666485317,1178.28551998,4474.528515139523
2030-04-06 09:00:00,170.69109399,5.08865213326,120.50029013,68.7975219919,0.0,3.76269557687,1975.20615723,320.905314523,0.0,0.0,78.8861554004,1143.300894,4483.430047168707
2030-04-06 10:00:00,170.69109399,4.76910445822,120.50029013,64.4773036659,0.0,3.76269557687,1975.20615723,413.026983268,0.0,0.0,117.430904127,1151.71419583,4488.321653141006
