snapshot,Biogas,Biogas_CHP,Biomass,Biomass_CHP,CCGT,Hydro,Nuclear,Oil,PV,SCGT,SCGT_CHP,Wind,Wind offshore,demand
2030-01-01 00:00:00,190.213506983,2.58237967222,176.325152502,8.79006628141,3854.646925258,0.639224419425,0.0,0.0,0.0,0.0,0.0,2.65723985595,63.1349854824,4720.057974575202
2030-01-01 01:00:00,190.213506983,2.587240002,176.325152502,8.80661017747,3854.646925258,0.639224419425,0.0,0.0,0.0,0.0,0.0,2.77058742995,62.4729291576,4602.913837765238
2030-01-01 02:00:00,190.213506983,2.56513767332,176.325152502,8.73137688157,3854.646925258,0.639224419425,0.0,0.0,0.0,0.0,0.0,3.10478477964,61.113951523,4443.5944628820835
2030-01-01 03:00:00,190.213506983,2.53588335679,176.325152502,8.63179919975,3854.646925258,0.639224419425,0.0,0.0,0.0,0.0,0.0,3.3184933495,61.0888782657,4300.624977930844
2030-01-01 04:00:00,190.213506983,2.53629468004,176.325152502,8.63319928767,3854.646925258,0.639224419425,0.0,0.0,0.0,0.0,0.0,3.45256429915,62.4153712953,4202.971876946001
2030-01-01 05:00:00,190.213506983,2.5348508515,176.325152502,8.62828469333,3854.646925258,0.639224419425,0.0,0.0,0.0,0.0,0.0,3.45928231963,62.5027316951,4229.959152388179
2030-01-01 06:00:00,190.213506983,2.53736915709,176.325152502,8.6368566602,3854.646925258,0.639224419425,0.0,0.0,0.0,0.0,0.0,3.68175635972,61.6931318316,4419.376874237967
2030-01-01 07:00:00,190.213506983,2.53435558474,176.325152502,8.62659887318,3854.646925258,0.639224419425,0.0,0.0,0.0,0.0,0.0,4.02045919338,61.1010030237,4711.44898331426
2030-01-01 08:00:00,190.213506983,2.73680217062,176.325152502,9.31569928994,2371.5083239551977,0.639224419425,0.0,0.0,0.0,0.0,0.0,4.10287351026,62.0852944018,5163.680923957257
2030-01-01 09:00:00,190.213506983,2.81533972743,176.325152502,9.58303036342,3854.646925258,0.639224419425,0.0,0.0,22.4135542819,0.0,0.0,4.13252019208,63.8421441022,5628.7806303229545
2030-01-01 10:00:00,190.213506983,4.05978561473,176.325152502,13.8189535124,3854.646925258,0.639224419425,0.0,0.0,131.264301737,0.0,0.0,4.07241646846,64.8024157625,5930.819141357992
2030-01-01 11:00:00,190.213506983,4.13786148218,176.325152502,14.0847130586,3854.646925258,0.639224419425,0.0,0.0,189.94597507,0.0,0.0,3.64140428242,61.5205884195,6092.9053581664875
2030-01-01 12:00:00,190.213506983,4.13299275805,176.325152502,14.0681405893,3854.646925258,0.639224419425,0.0,0.0,202.673329222,1879.1141753619602,0.0,3.29083566273,59.0537759697,6171.285665704865
2030-01-01 13:00:00,190.213506983,4.12738533095,176.325152502,14.0490536764,3854.646925258,0.639224419425,0.0,0.0,195.184436437,0.0,0.0,2.66991162465,55.7108220591,6152.938268713161
2030-01-01 14:00:00,190.213506983,4.13140622553,176.325152502,14.0627402502,3854.646925258,0.639224419425,0.0,0.0,137.79969823,1879.1141753619602,0.0,2.60309331221,52.5061751453,6114.639372926091
2030-01-01 15:00:00,190.213506983,4.13006312922,176.325152502,14.0581685345,3854.646925258,0.639224419425,0.0,0.0,47.4415022628,0.0,0.0,2.67322040354,48.8478229193,6199.049591399588
2030-01-01 16:00:00,190.213506983,4.13803776357,176.325152502,14.0853130963,3854.646925258,0.639224419425,0.0,0.0,0.0,1784.667923030915,0.0,3.0336627411,48.7964753094,6441.099897030695
2030-01-01 17:00:00,190.213506983,4.49176736022,176.325152502,15.2893601362,3854.646925258,0.639224419425,0.0,0.0,0.0,1879.1141753619602,0.0,3.59936280428,48.9588944294,6628.035670637524
2030-01-01 18:00:00,190.213506983,4.19569856708,176.325152502,14.2815825644,3854.646925258,0.639224419425,0.0,0.0,0.0,1879.1141753619602,0.0,4.34941058976,49.0787670014,6619.894051323428
2030-01-01 19:00:00,190.213506983,4.15448229903,176.325152502,14.14128804,3854.646925258,0.639224419425,0.0,0.0,0.0,18.45900361484587,0.0,5.01574034315,49.2280813637,6421.992512612377
2030-01-01 20:00:00,190.213506983,4.16723331964,176.325152502,14.1846907656,3854.646925258,0.639224419425,0.0,0.0,0.0,193.87461125426998,0.0,5.43858494786,49.2339285046,6063.454422948836
2030-01-01 21:00:00,190.213506983,4.173109366,176.325152502,14.2046920216,3854.646925258,0.639224419425,0.0,0.0,0.0,0.0,0.0,5.64813016131,48.2981034509,5650.30737578439
