snapshot,Biogas,Biogas_CHP,Biomass,Biomass_CHP,CCGT,Hydro,Nuclear,Oil,PV,SCGT,Wind,Wind offshore,demand
2030-01-01 00:00:00,127.242403639,4.00330628612,188.384000266,7.84692612246,1236.67302115,603.821391268,1911.48982958,0.0,0.0,0.0,335.12088794,1390.2541637,3066.248426950482
2030-01-01 01:00:00,127.242403639,4.01084096003,188.384000266,7.86169492238,1236.67302115,603.821391268,1911.48982958,0.0,0.0,0.0,349.415848766,1375.675455,2990.149144451234
2030-01-01 02:00:00,127.242403639,3.97657706295,188.384000266,7.79453386852,1236.67302115,603.821391268,1911.48982958,0.0,0.0,0.0,391.563535331,1345.7502986,2886.651944787671
2030-01-01 03:00:00,127.242403639,3.93122587369,188.384000266,7.70564048733,1236.67302115,603.821391268,1911.48982958,0.0,0.0,0.0,418.515639609,1345.19817682,2793.775975743432
2030-01-01 04:00:00,127.242403639,3.93186352312,188.384000266,7.70689035123,1236.67302115,603.821391268,1911.48982958,0.0,0.0,0.0,435.424153003,1374.40801101,2730.3384779638504
2030-01-01 05:00:00,127.242403639,3.92962524348,188.384000266,7.70250307388,1236.67302115,603.821391268,1911.48982958,0.0,0.0,0.0,436.271403951,1376.33171716,2747.8699767967023
2030-01-01 06:00:00,127.242403639,3.9335292196,188.384000266,7.71015530181,1236.67302115,603.821391268,1911.48982958,0.0,0.0,0.0,464.32897568,1358.50404883,2870.9196924542143
2030-01-01 07:00:00,127.242403639,3.92885746151,188.384000266,7.70099813571,1236.67302115,603.821391268,1911.48982958,0.0,0.0,0.0,507.044876584,1345.46516818,3060.6558460852284
2030-01-01 08:00:00,127.242403639,4.24269810182,188.384000266,8.31616073952,1236.67302115,603.821391268,1911.48982958,0.0,0.0,0.0,517.438653792,1367.13960393,3354.4351776278986
2030-01-01 09:00:00,127.242403639,4.36445010376,188.384000266,8.55480822142,1236.67302115,603.821391268,1911.48982958,0.0,7.24152085659,0.0,521.177579473,1405.8260405,3656.5736790405426
