snapshot,Biogas,Biogas_CHP,Biomass,Biomass_CHP,CCGT,Hydro,Nuclear,Oil,PV,SCGT,Wind,Wind offshore,demand
2030-09-21 10:00:00,129.891161329,5.83552252781,102.310579863,4.30782995762,0.0,4.20113163825,0.0,0.0,1021.75160526,0.0,216.782154778,0.0,3262.398726369025
2030-09-21 11:00:00,129.891161329,5.17891350708,102.310579863,3.8231158645,0.0,4.20113163825,0.0,0.0,1247.80726661,0.0,229.298656254,0.0,3266.136136841652
2030-09-21 12:00:00,129.891161329,4.84545791712,102.310579863,3.57695624929,0.0,4.20113163825,0.0,0.0,1354.52743866,0.0,264.686631995,0.0,3218.4887684953746
2030-09-21 13:00:00,129.891161329,4.83262540302,102.310579863,3.56748318353,0.0,4.20113163825,0.0,0.0,1362.34694208,0.0,290.922212335,0.0,3179.2665687874387
2030-09-21 14:00:00,129.891161329,5.20662993014,102.310579863,3.84357635232,0.0,4.20113163825,0.0,0.0,1246.63578972,0.0,300.605548895,0.0,3152.617383077615
2030-09-21 15:00:00,129.891161329,4.6766651718,102.310579863,3.45235207864,0.0,4.20113163825,0.0,0.0,982.796509459,0.0,303.321438554,0.0,3236.825067199568
2030-09-21 16:00:00,129.891161329,5.02045003192,102.310579863,3.70613684467,0.0,4.20113163825,0.0,0.0,613.331557705,0.0,306.120163983,0.0,3327.907978232633
2030-09-21 17:00:00,129.891161329,6.07396329155,102.310579863,4.48384885914,0.0,4.20113163825,0.0,0.0,203.412818657,0.0,317.778607436,0.0,3347.606829722977
2030-09-21 18:00:00,129.891161329,5.52400872956,102.310579863,4.07786795063,0.0,4.20113163825,0.0,0.0,0.0,0.0,328.642296492,0.0,3277.4244871141436
2030-09-21 19:00:00,129.891161329,5.42184565076,102.310579863,4.00245033904,0.0,4.20113163825,0.0,0.0,0.0,0.0,340.817725808,0.0,3142.4892763431453
2030-09-21 20:00:00,129.891161329,5.71590000025,102.310579863,4.21952363966,0.0,4.20113163825,0.0,0.0,0.0,0.0,350.947147762,0.0,2929.6250489658846
2030-09-21 21:00:00,129.891161329,5.11231095151,102.310579863,3.77394931896,0.0,4.20113163825,0.0,0.0,0.0,0.0,355.319188369,0.0,2641.9544482272368
2030-09-21 22:00:00,0.0,0.0,0.0,0.0,0.0,4.20113163825,0.0,0.0,0.0,0.0,365.552060251,0.0,2316.9782750201175
2030-09-21 23:00:00,0.0,0.0,0.0,0.0,0.0,4.20113163825,0.0,0.0,0.0,0.0,370.287998058,0.0,2114.1933472712153
2030-09-22 00:00:00,0.0,0.0,102.310579863,2.99909923774,0.0,4.20113163825,0.0,0.0,0.0,0.0,373.118046183,0.0,2177.384135151263
2030-09-22 01:00:00,0.0,0.0,102.310579863,3.00217464852,0.0,4.20113163825,0.0,0.0,0.0,0.0,375.114822319,0.0,2146.2770651589112
2030-09-22 02:00:00,0.0,0.0,102.310579863,3.0481123463,0.0,4.20113163825,0.0,0.0,0.0,0.0,375.464386881,0.0,2093.7793325887346
2030-09-22 03:00:00,0.0,0.0,102.310579863,3.00491650066,0.0,4.20113163825,0.0,0.0,0.0,0.0,374.368784889,0.0,2055.4154298659873
2030-09-22 04:00:00,0.0,0.0,102.310579863,3.36744805895,0.0,4.20113163825,0.0,0.0,0.0,0.0,370.700734474,0.0,2057.5682531526427
2030-09-22 05:00:00,0.0,0.0,102.310579863,3.7863510297,0.0,4.20113163825,0.0,0.0,0.0,0.0,365.552997707,0.0,2195.3557714357034
2030-09-22 06:00:00,69.33156293098341,0.0,102.310579863,3.82711856835,0.0,4.20113163825,0.0,0.0,0.0,0.0,360.034846848,0.0,2502.661243364974
2030-09-22 07:00:00,129.891161329,5.32084834261,102.310579863,3.92789330878,0.0,4.20113163825,0.0,0.0,230.511228003,0.0,357.411251494,0.0,2789.4831568077198
2030-09-22 08:00:00,129.891161329,5.47366370417,102.310579863,4.04070284544,0.0,4.20113163825,0.0,0.0,588.839883853,0.0,349.960376951,0.0,2905.595262246214
2030-09-22 09:00:00,129.891161329,6.90432636058,102.310579863,5.09682959693,0.0,4.20113163825,0.0,0.0,893.920517781,0.0,358.254568787,0.0,2935.3708844993153
2030-09-22 10:00:00,129.891161329,6.83139791777,102.310579863,5.04299323023,0.0,4.20113163825,0.0,0.0,1118.23265751,0.0,362.486160481,0.0,2921.004651903098
2030-09-22 11:00:00,129.891161329,7.54427118694,102.310579863,5.5692420469,0.0,4.20113163825,0.0,0.0,1227.25049143,0.0,364.423899967,0.0,2903.017336651927
2030-09-22 12:00:00,129.891161329,7.10101626858,102.310579863,5.24202767886,0.0,4.20113163825,0.0,0.0,1201.34268797,0.0,364.537190152,0.0,2870.5871641768103
2030-09-22 13:00:00,129.891161329,6.87152211679,102.310579863,5.07261323867,0.0,4.20113163825,0.0,0.0,1088.67843866,0.0,358.260622819,0.0,2834.2549520784005
2030-09-22 14:00:00,129.891161329,6.91265845776,102.310579863,5.1029804185,0.0,4.20113163825,0.0,0.0,916.042868861,0.0,350.711986968,0.0,2818.3643192975296
2030-09-22 15:00:00,129.891161329,7.81347383659,102.310579863,5.76796962156,0.0,4.20113163825,0.0,0.0,661.662918425,0.0,331.828530919,0.0,2868.3347035854513
2030-09-22 16:00:00,129.891161329,7.9363406406,102.310579863,5.85867089066,0.0,4.20113163825,0.0,0.0,371.94070503,0.0,297.946060903,0.0,3000.959289856254
2030-09-22 17:00:00,129.891161329,7.82908070409,102.310579863,5.77949073746,0.0,4.20113163825,0.0,0.0,120.174037452,0.0,278.317348706,0.0,3100.138869886011
2030-09-22 18:00:00,129.891161329,7.93854566415,102.310579863,5.86029865689,0.0,4.20113163825,0.0,0.0,0.0,0.0,268.861855294,0.0,3103.324734770926
2030-09-22 19:00:00,129.891161329,7.95296868704,102.310579863,5.87094584911,0.0,4.20113163825,0.0,0.0,0.0,0.0,256.3586507,0.0,3030.370502576162
2030-09-22 20:00:00,129.891161329,7.9444648872,102.310579863,5.86466827525,0.0,4.20113163825,0.0,0.0,0.0,0.0,250.795974731,0.0,2877.9942115239423
2030-09-22 21:00:00,129.891161329,5.81349940326,102.310579863,4.29157230884,0.0,4.20113163825,0.0,0.0,0.0,0.0,254.889992817,0.0,2660.7934854130317
2030-09-22 22:00:00,129.891161329,5.27621468969,102.310579863,3.89494438498,0.0,4.20113163825,0.0,0.0,0.0,0.0,272.486979473,0.0,2413.014727993627
2030-09-22 23:00:00,129.891161329,5.15732415766,102.310579863,3.80717843203,0.0,4.20113163825,0.0,0.0,0.0,0.0,264.243573137,0.0,2209.9445442048627
2030-09-23 00:00:00,129.891161329,5.08354623857,102.310579863,3.75271497507,0.0,4.20113163825,0.0,0.0,0.0,0.0,261.296563644,0.0,2052.8713910707625
2030-09-23 01:00:00,129.891161329,5.16861134788,102.310579863,3.8155107272,0.0,4.20113163825,0.0,0.0,0.0,0.0,254.900440891,0.0,2010.8355754944691
2030-09-23 02:00:00,129.891161329,5.19042662184,102.310579863,3.831614939,0.0,4.20113163825,0.0,0.0,0.0,0.0,250.79595451,0.0,1944.7924801023603
2030-09-23 03:00:00,129.891161329,5.47581450583,102.310579863,4.04229058463,0.0,4.20113163825,0.0,0.0,0.0,0.0,241.559283779,0.0,1895.6143894074244
2030-09-23 04:00:00,129.891161329,6.22304637964,102.310579863,4.59390320132,0.0,4.20113163825,0.0,0.0,0.0,0.0,227.763927594,0.0,1889.0177170423303
2030-09-23 05:00:00,129.891161329,9.06952393142,102.310579863,6.69519596694,0.0,4.20113163825,0.0,0.0,0.0,0.0,219.199251402,0.0,2009.4821266244846
2030-09-23 06:00:00,129.891161329,9.87630047806,102.310579863,7.290764943,0.0,4.20113163825,0.0,0.0,0.0,0.0,213.793664182,0.0,2266.456850917604
2030-09-23 07:00:00,129.891161329,10.1566999481,102.310579863,7.4977581011,0.0,4.20113163825,0.0,0.0,103.188542837,0.0,216.125448803,0.0,2496.928557932672
2030-09-23 08:00:00,129.891161329,10.0473072839,102.310579863,7.41700355106,0.0,4.20113163825,0.0,0.0,271.135148814,0.0,214.340119847,0.0,2644.583456906676
2030-09-23 09:00:00,129.891161329,9.95708205801,102.310579863,7.3503985591,0.0,4.20113163825,0.0,0.0,413.324005012,0.0,241.113863472,0.0,2751.058561310534
2030-09-23 10:00:00,129.891161329,9.64078769641,102.310579863,7.11690750155,0.0,4.20113163825,0.0,0.0,527.440749685,0.0,231.502449426,0.0,2801.1816890807936
