snapshot,Biogas,Biogas_CHP,Biomass,Biomass_CHP,CCGT,Hydro,Nuclear,Oil,PV,SCGT,SCGT_CHP,Wind,Wind offshore
2030-01-01 00:00:00,0.0,0.0,0.0,0.0,20541.3484869718,685.8999999994867,3895.00000001,0.0,0.0,0.0,0.0,1034.717752657902,13889.3857064094
2030-01-01 01:00:00,0.0,0.0,0.0,0.0,13793.665322319523,685.8999999994867,3895.00000001,0.0,0.0,0.0,0.0,1078.8548096789568,13782.6355544844
2030-01-01 02:00:00,0.0,0.0,0.0,0.0,13705.261044880624,685.8999999994867,3895.00000001,0.0,0.0,0.0,0.0,1208.989817946664,13503.2753552238
2030-01-01 03:00:00,0.0,0.0,0.0,0.0,12105.991110454434,685.8999999994867,3895.00000001,0.0,0.0,0.0,0.0,1292.207014403027,13499.786604958099
2030-01-01 04:00:00,0.0,0.0,0.0,0.0,13352.88461622196,685.8999999994867,3895.00000001,0.0,0.0,0.0,0.0,1344.413664626636,13780.3811781964
2030-01-01 05:00:00,0.0,0.0,0.0,0.0,9319.503077861149,685.8999999994867,3895.00000001,0.0,0.0,0.0,0.0,1347.0296328602149,13815.8263666158
2030-01-01 06:00:00,0.0,0.0,0.0,0.0,13023.473459479177,685.8999999994867,3895.00000001,0.0,0.0,0.0,0.0,1433.660065663235,13710.6088502941
2030-01-01 07:00:00,0.0,0.0,0.0,0.0,14084.883219976713,685.8999999994867,3895.00000001,0.0,0.0,0.0,0.0,1565.549489974303,13656.9359689905
2030-01-01 08:00:00,0.0,0.0,0.0,0.0,15992.26030677762,685.8999999994867,3895.00000001,0.0,0.0,0.0,0.0,1597.641269930698,13894.3284068132
2030-01-01 09:00:00,0.0,0.0,0.0,0.0,18361.52737607036,685.8999999994867,3895.00000001,0.0,574.25764009929,0.0,0.0,1609.185560123189,14265.173209282
2030-01-01 10:00:00,0.0,0.0,0.0,0.0,16243.081327479049,685.8999999994867,3895.00000001,0.0,3363.1224747508,0.0,0.0,1585.78142905966,14446.169943961
2030-01-01 11:00:00,0.0,0.0,0.0,0.0,16848.007246320998,685.8999999994867,3895.00000001,0.0,4866.6055377998,0.0,0.0,1417.947140598707,13799.5724280021
2030-01-01 12:00:00,0.0,0.0,0.0,0.0,18338.721051594708,685.8999999994867,3895.00000001,0.0,5192.6930591372,0.0,0.0,1281.43723032008,13355.4195063029
2030-01-01 13:00:00,0.0,0.0,0.0,0.0,18488.026507250313,685.8999999994867,3895.00000001,0.0,5000.8201484881,0.0,0.0,1039.6520848015011,12615.9275291006
2030-01-01 14:00:00,0.0,0.0,0.0,0.0,20458.838375347634,685.8999999994867,3895.00000001,0.0,3530.5658583588997,0.0,0.0,1013.633321787371,11903.5655132267
2030-01-01 15:00:00,0.0,0.0,0.0,0.0,21698.6628115818,685.8999999994867,3895.00000001,0.0,1215.49865717481,0.0,0.0,1040.940509045995,11073.905532528799
2030-01-01 16:00:00,0.0,0.0,0.0,0.0,21698.6628115818,685.8999999994867,3895.00000001,0.0,0.0,0.0,0.0,1181.295202525835,11028.8905718488
2030-01-01 17:00:00,0.0,0.0,0.0,0.0,21698.6628115818,685.8999999994867,3895.00000001,0.0,0.0,0.0,0.0,1401.576370122381,11038.940488215001
2030-01-01 18:00:00,0.0,0.0,0.0,0.0,21698.6628115818,685.8999999994867,3895.00000001,0.0,0.0,0.0,0.0,1693.641746621839,11079.4812710509
2030-01-01 19:00:00,0.0,0.0,0.0,0.0,21698.6628115818,685.8999999994867,3895.00000001,0.0,0.0,0.0,0.0,1953.107682077093,11147.9019816904
2030-01-01 20:00:00,0.0,0.0,0.0,0.0,21660.74330419071,685.8999999994867,3895.00000001,0.0,0.0,0.0,0.0,2117.761549562306,11163.5484390325
2030-01-01 21:00:00,0.0,0.0,0.0,0.0,20563.867325487383,685.8999999994867,3895.00000001,0.0,0.0,0.0,0.0,2199.35755296673,10972.6773519764
2030-01-01 22:00:00,0.0,0.0,0.0,0.0,17312.453512535685,685.8999999994867,3895.00000001,0.0,0.0,0.0,0.0,1888.7871984994272,11450.7081590304
2030-01-01 23:00:00,0.0,0.0,0.0,0.0,14898.7456549245,685.8999999994867,3895.00000001,0.0,0.0,0.0,0.0,2002.069192064016,11179.298338143
2030-01-02 00:00:00,0.0,0.0,0.0,0.0,12321.03406741251,685.8999999994867,3895.00000001,0.0,0.0,0.0,0.0,2043.5694738108061,11629.1933087022
2030-01-02 01:00:00,0.0,0.0,0.0,0.0,10124.442254574345,685.8999999994867,3895.00000001,0.0,0.0,0.0,0.0,2215.547336703868,12898.9147502683
2030-01-02 02:00:00,0.0,0.0,0.0,0.0,7474.924686596083,685.8999999994867,3895.00000001,0.0,0.0,0.0,0.0,2424.45907870243,14296.177755439
2030-01-02 03:00:00,0.0,0.0,0.0,0.0,4736.566277230051,685.8999999994867,3895.00000001,0.0,0.0,0.0,0.0,2695.47992597346,15856.471346389
2030-01-02 04:00:00,0.0,0.0,0.0,0.0,1525.0416353750252,685.8999999994867,3895.00000001,0.0,0.0,0.0,0.0,2993.5344842714903,18222.535705382
2030-01-02 05:00:00,0.0,0.0,0.0,0.0,0.0,685.8999999994867,3895.00000001,0.0,0.0,0.0,0.0,3107.5274877349198,20888.909518951
2030-01-02 06:00:00,0.0,0.0,0.0,0.0,960.1099051547388,685.8999999994867,3895.00000001,0.0,0.0,0.0,0.0,3096.60993849565,22962.282591767
2030-01-02 07:00:00,0.0,0.0,0.0,0.0,2751.687367932183,685.8999999994867,3895.00000001,0.0,0.0,0.0,0.0,3069.44663758166,24001.432181512
