snapshot,EN_East,EN_EastMidlands,EN_EastMidlands_Battery,EN_EastMidlands_OtherStorage,EN_East_Battery,EN_East_OtherStorage,EN_London,EN_London_Battery,EN_London_OtherStorage,EN_NorthEast,EN_NorthEast_Battery,EN_NorthEast_OtherStorage,EN_NorthWest,EN_NorthWest_Battery,EN_NorthWest_OtherStorage,EN_SouthEast,EN_SouthEast_Battery,EN_SouthEast_OtherStorage,EN_SouthWest,EN_SouthWest_Battery,EN_SouthWest_OtherStorage,EN_Wales,EN_Wales_Battery,EN_Wales_OtherStorage,EN_WestMidlands,EN_WestMidlands_Battery,EN_WestMidlands_OtherStorage,EN_Yorkshire,EN_Yorkshire_Battery,EN_Yorkshire_OtherStorage,NorthernIreland,NorthernIreland_Battery,NorthernIreland_OtherStorage,Scotland,Scotland_Battery,Scotland_OtherStorage
2030-01-01 00:00:00,493.97726628540386,4381.7836427198545,0.0,0.0,0.0,0.0,-4255.695076690246,0.0,0.0,-1145.3605526978993,0.0,0.0,-995.8423811281391,0.0,0.0,-1185.8484310825431,0.0,0.0,-534.3381027312907,0.0,0.0,3252.7302114258464,0.0,0.0,-2708.0219163902216,0.0,0.0,-1529.6153292005383,0.0,0.0,378.5066201564691,0.0,0.0,3847.724049326872,0.0,0.0
2030-01-01 01:00:00,565.0771112487078,1850.4159066669854,0.0,0.0,0.0,0.0,-4309.751891059467,0.0,0.0,-1113.7725000741777,0.0,0.0,12.281836918269619,0.0,0.0,-383.8755221946458,0.0,0.0,-3034.0103355305955,0.0,0.0,5372.022611512878,0.0,0.0,-2640.7440509228886,0.0,0.0,-662.8573811601775,0.0,0.0,442.63347601460043,0.0,0.0,3902.5807385752146,0.0,0.0
2030-01-01 02:00:00,-991.6946595496652,4634.679340953315,0.0,0.0,0.0,0.0,-4222.893902726849,0.0,0.0,-1069.8690442945792,0.0,0.0,88.2342133766142,0.0,0.0,-242.49575932600965,0.0,0.0,-372.86378841559645,0.0,0.0,715.2766998626616,0.0,0.0,-2549.185569772339,0.0,0.0,566.3045307079465,0.0,0.0,499.99999999967326,0.0,0.0,2944.5079391831596,0.0,0.0
2030-01-01 03:00:00,752.345254009952,1686.6638599909616,0.0,0.0,0.0,0.0,-3872.142934688421,0.0,0.0,-1029.3836172782085,0.0,0.0,194.10818075631323,0.0,0.0,-112.29454854944834,0.0,0.0,-3200.0065706943014,0.0,0.0,5450.314432196573,0.0,0.0,-3969.2616922632874,0.0,0.0,-529.6113358400835,0.0,0.0,499.9999999997825,0.0,0.0,4129.2689723675285,0.0,0.0
2030-01-01 04:00:00,-261.4034926171407,3231.1290428425427,0.0,0.0,0.0,0.0,-3782.8470889318687,0.0,0.0,-1781.9206379527404,0.0,0.0,309.7090828829787,0.0,0.0,-3105.329545534181,0.0,0.0,-2330.688718230627,0.0,0.0,5536.707221363868,0.0,0.0,-2410.954481209214,0.0,0.0,742.1501871122555,0.0,0.0,-452.7722901889726,0.0,0.0,4306.220720455807,0.0,0.0
2030-01-01 05:00:00,805.5506303890484,3338.2798735804245,0.0,0.0,0.0,0.0,-3807.517249873456,0.0,0.0,-1006.7960886521088,0.0,0.0,292.8684353406843,0.0,0.0,-3650.977851131995,0.0,0.0,-2345.8617329748827,0.0,0.0,4760.609041203697,0.0,0.0,-2426.44303457802,0.0,0.0,-447.03064131545625,0.0,0.0,189.69192134720458,0.0,0.0,4297.626696659856,0.0,0.0
2030-01-01 06:00:00,-1138.52220586302,3293.649957371799,0.0,0.0,0.0,0.0,-3980.6415552435888,0.0,0.0,-1839.2851169032592,0.0,0.0,130.4755429593224,0.0,0.0,-217.65279831180214,0.0,0.0,-2450.3074646258615,0.0,0.0,5440.725619850298,0.0,0.0,-2535.0966444623637,0.0,0.0,-1392.8549582040177,0.0,0.0,500.0000000004263,0.0,0.0,4189.509623421761,0.0,0.0
2030-01-01 07:00:00,499.4463052310334,4437.425247854921,0.0,0.0,0.0,0.0,-4247.590823063167,0.0,0.0,-1133.6308504503997,0.0,0.0,-2036.9788618573957,0.0,0.0,-483.98199359769205,0.0,0.0,-2611.408017443164,0.0,0.0,5325.636876974777,0.0,0.0,-2702.636178552344,0.0,0.0,-747.3063225300198,0.0,0.0,-363.0517111123594,0.0,0.0,4064.0763285394537,0.0,0.0
2030-01-01 08:00:00,220.71509361262633,3121.5795069206433,0.0,0.0,0.0,0.0,-4719.846016201739,0.0,0.0,-1253.2428734171897,0.0,0.0,598.715041288066,0.0,0.0,-891.6614932841394,0.0,0.0,-2856.9602132141054,0.0,0.0,5199.903010437606,0.0,0.0,-2962.191233222943,0.0,0.0,209.79069520214398,0.0,0.0,500.00000000033685,0.0,0.0,2833.1984818858264,0.0,0.0
2030-01-01 09:00:00,3.3198489346177666,4352.45720477503,0.0,0.0,0.0,0.0,-5081.964015614395,0.0,0.0,-1356.9666936912338,0.0,0.0,-857.0081882755503,0.0,0.0,-1238.510106602268,0.0,0.0,-904.4248170119799,0.0,0.0,5146.501940023996,0.0,0.0,-3191.3296582204885,0.0,0.0,-1122.79301580504,0.0,0.0,500.00000000444413,0.0,0.0,3750.717501506079,0.0,0.0
