snapshot,Biogas,Biogas_CHP,Biomass,Biomass_CHP,CCGT,Hydro,Nuclear,Oil,PV,SCGT,SCGT_CHP,Wind,Wind offshore
2030-01-01 00:00:00,-2.7460401952339454e-10,1.7429480081432304e-12,-8.165052634012681e-10,7.75848718603811e-12,2152.299367466892,5.133390726386189e-10,-2.728484105318371e-13,61.34240092558847,0.0,3417.9593409977615,285.19567802889185,3.1816466128375964e-11,2.1609949385492655e-09
2030-01-01 01:00:00,-2.7460401952339454e-10,7.294342907471217e-13,-8.165052634012681e-10,-2.8238034133210023e-12,2757.660147621953,5.133390726386189e-10,-2.728484105318371e-13,61.34240092558847,0.0,3417.9593409977615,285.7324484585229,-2.878291494035068e-10,8.426326303379028e-10
2030-01-01 02:00:00,-2.7460401952339454e-10,-6.185585377238571e-13,-8.165052634012681e-10,5.8012616932501255e-12,3286.2265638615227,5.133390726386189e-10,-2.728484105318371e-13,61.34240092558847,0.0,3417.9593409977615,283.2914872474368,-1.0557277274614307e-11,1.229565782523423e-09
2030-01-01 03:00:00,-2.7460401952339454e-10,-5.573674854986166e-13,-8.165052634012681e-10,-1.30033228629145e-11,3994.5512424387443,5.133390726386189e-10,-2.728484105318371e-13,61.34240092558847,0.0,3417.9593409977615,280.06066695855134,4.783124452067966e-10,5.5649920227551775e-09
2030-01-01 04:00:00,-2.7460401952339454e-10,1.0707212894089931e-12,-8.165052634012681e-10,-7.726690398612845e-12,4381.340164302324,5.133390726386189e-10,-2.728484105318371e-13,61.34240092558847,0.0,3417.9593409977615,280.1060931261713,1.305373587001668e-10,3.626936972978001e-09
2030-01-01 05:00:00,-2.7460401952339454e-10,2.2868640314754886e-12,-8.165052634012681e-10,6.5879390831469214e-12,4254.193760469573,5.133390726386189e-10,-2.728484105318371e-13,61.34240092558847,0.0,3417.9593409977615,279.94663800717893,3.446587459876582e-10,1.184048414870631e-10
2030-01-01 06:00:00,-2.7460401952339454e-10,-5.298219640792468e-12,-8.165052634012681e-10,3.37900374347555e-11,3585.5055555521153,5.133390726386189e-10,-2.728484105318371e-13,61.34240092558847,0.0,3417.9593409977615,280.2247574007702,-3.34059002682352e-10,1.2077094879714423e-09
2030-01-01 07:00:00,-2.7460401952339454e-10,-1.5728174318496713e-12,-8.165052634012681e-10,7.0975048060972775e-12,2452.041789769772,5.133390726386189e-10,-2.728484105318371e-13,61.34240092558847,0.0,3417.9593409977615,279.891941193106,-1.9804713424775855e-10,-1.20632392963671e-09
2030-01-01 08:00:00,-2.7460401952339454e-10,-6.383871209436618e-13,-8.165052634012681e-10,1.4642687062860202e-11,673.0593669923458,5.133390726386189e-10,-2.728484105318371e-13,61.34240092558847,0.0,3417.9593409977615,302.2499592439093,4.000871856035815e-11,2.190212455843721e-09
2030-01-01 09:00:00,-2.7460401952339454e-10,1.863380560962469e-12,-8.165052634012681e-10,3.3858782444440293e-12,1.3482555516475253e-09,5.133390726386189e-10,-2.728484105318371e-13,61.34240092558847,2.1093793378668124e-11,2833.0865696622627,310.9235760653762,-2.258933595733481e-10,-2.9945894652883e-09
2030-01-01 10:00:00,-2.7460401952339454e-10,-1.0156053775745024e-12,-8.165052634012681e-10,-7.799769718985774e-12,1.3482555516475253e-09,5.133390726386189e-10,-2.728484105318371e-13,61.34240092558847,-6.659703899458691e-10,2390.4651790054736,448.3590556024451,5.446367246086936e-10,3.1727651617075026e-09
2030-01-01 11:00:00,-2.7460401952339454e-10,-3.2751401590758182e-12,-8.165052634012681e-10,-1.5427161770276142e-11,1.3482555516475253e-09,5.133390726386189e-10,-2.728484105318371e-13,61.34240092558847,-4.409983489495062e-10,2028.9991021803326,456.9816838684202,3.5261615849435657e-10,3.6230645150681084e-09
2030-01-01 12:00:00,-2.7460401952339454e-10,-2.51625387193144e-12,-8.165052634012681e-10,9.496829989075195e-12,1.3482555516475253e-09,5.133390726386189e-10,-2.728484105318371e-13,61.34240092558847,2.461586490198897e-10,1783.4571232644423,456.4439863741438,-5.432319039044842e-10,-2.006959931577512e-09
2030-01-01 13:00:00,-2.7460401952339454e-10,-2.7827518067624623e-12,-8.165052634012681e-10,-4.310152235120769e-12,1.3482555516475253e-09,5.133390726386189e-10,-2.728484105318371e-13,61.34240092558847,-2.90754087473033e-10,1679.1856708095956,455.8247071910805,-2.709093227526438e-10,8.862102163220698e-10
2030-01-01 14:00:00,-2.7460401952339454e-10,-1.4810286330657618e-12,-8.165052634012681e-10,9.958611713045685e-12,1.3482555516475253e-09,5.133390726386189e-10,-2.728484105318371e-13,61.34240092558847,8.719567290427221e-10,1525.7940093909247,456.26877115618123,5.002878666893196e-11,3.859369712699845e-09
2030-01-01 15:00:00,-2.7460401952339454e-10,2.4009239041333785e-13,-8.165052634012681e-10,2.5662600933173966e-11,1.3482555516475253e-09,5.133390726386189e-10,-2.728484105318371e-13,61.34240092558847,-2.871480830890505e-12,952.8162036492672,456.1204408129326,5.069474007246555e-10,-5.326867835719895e-10
2030-01-01 16:00:00,-2.7460401952339454e-10,2.0850610127354227e-12,-8.165052634012681e-10,-4.0368419718106454e-11,1.3482555516475253e-09,5.133390726386189e-10,-2.728484105318371e-13,61.34240092558847,0.0,204.13433131449435,457.0011522259716,4.866086422694593e-10,-3.761709166383298e-09
2030-01-01 17:00:00,-2.7460401952339454e-10,-4.1784353754792406e-13,-8.165052634012681e-10,-2.154251887986902e-11,1.3482555516475253e-09,5.133390726386189e-10,-2.728484105318371e-13,61.34240092558847,0.0,-8.426181530296617e-10,147.35985465546386,-5.944814640557183e-10,-2.700719647918959e-09
