snapshot,Battery,Hydro,Other storage
01/01/2030 00:00:00,9799.888843529327,67245.5695272215,2387.8514345886542
01/01/2030 01:00:00,9539.414864880879,65291.87179930139,75.0
01/01/2030 02:00:00,16222.951128728982,60105.81553793612,2463.6264294735975
01/01/2030 03:00:00,23172.422117827005,57910.1250299567,4044.936814678598
01/01/2030 04:00:00,24809.211909058868,48876.00628612834,10846.32443750996
01/01/2030 05:00:00,21843.749444229197,52866.94861526441,7096.788792450007
01/01/2030 06:00:00,19319.715706809257,65136.89257256481,0.0
01/01/2030 07:00:00,9542.80972720319,64582.92504029152,0.0
01/01/2030 08:00:00,8057.77218020789,62520.096626675,5992.896394129596
01/01/2030 09:00:00,15956.934909274318,62127.171486111,15672.321611325633
01/01/2030 10:00:00,32174.01541319879,61444.524147820994,14370.175500005113
01/01/2030 11:00:00,35370.12220855057,57170.00540876719,23784.680368119083
01/01/2030 12:00:00,36830.76502744589,62805.8244490574,24826.19754367
01/01/2030 13:00:00,25077.298438437054,58385.579435045096,25279.045489717642
01/01/2030 14:00:00,23879.12606920499,71349.41327441638,14704.810881246009
01/01/2030 15:00:00,15063.727043980425,74968.3393313427,13362.721089541996
01/01/2030 16:00:00,22373.78577112247,83900.29598445553,1125.0
01/01/2030 17:00:00,33283.60875236624,80520.2290281764,0.0
01/01/2030 18:00:00,44985.83544801813,86751.9789584229,1475.0
01/01/2030 19:00:00,36060.405129480256,82445.5830216684,0.0
01/01/2030 20:00:00,31544.551519558696,79817.76029831613,1497.8770228056558
01/01/2030 21:00:00,25554.074156044466,76797.77215159807,7600.0
01/01/2030 22:00:00,39412.49043333404,76823.11994874108,0.0
01/01/2030 23:00:00,34743.88422499992,71089.75052272328,1666.3845326319642
02/01/2030 00:00:00,9521.534763762917,77357.57829882235,775.0
02/01/2030 01:00:00,15399.570011169057,84489.95907462848,0.0
02/01/2030 02:00:00,17508.90372408704,76200.4186789197,0.0
02/01/2030 03:00:00,16258.02895762875,71998.9178625382,0.0
02/01/2030 04:00:00,16678.93276090215,63923.88474060879,0.0
02/01/2030 05:00:00,13676.960614410627,82267.02532439519,0.0
02/01/2030 06:00:00,0.0,90159.78263097603,0.0
02/01/2030 07:00:00,9014.196163535158,98312.4545046562,0.0
02/01/2030 08:00:00,12910.459228327225,95070.1466491874,3855.2498531002034
02/01/2030 09:00:00,3867.165692513181,95877.7192460754,5498.456749309001
02/01/2030 10:00:00,8000.569076531721,83946.47263964306,0.0
02/01/2030 11:00:00,19277.773109210284,72265.94093792664,0.0
02/01/2030 12:00:00,17830.95784861398,74685.79618564718,0.0
02/01/2030 13:00:00,16464.856362440976,77404.8441452922,0.0
02/01/2030 14:00:00,4567.910992074992,83593.23706551,0.0
02/01/2030 15:00:00,15547.131882611156,98163.2088402728,1095.668806638998
02/01/2030 16:00:00,18424.60960143937,95291.57529830001,0.0
02/01/2030 17:00:00,18434.30388439944,94566.47479840681,0.0
02/01/2030 18:00:00,22032.814836731362,83856.05658974776,0.0
02/01/2030 19:00:00,9189.021440855908,93130.4016307088,7797.0
02/01/2030 20:00:00,12325.690618297396,90417.18064955079,0.0
02/01/2030 21:00:00,10623.694915842745,89060.0703073351,883.6620408302553
02/01/2030 22:00:00,1867.9475808461964,82079.12283647002,4831.145594326006
02/01/2030 23:00:00,5723.352613739841,74893.2966488689,5134.047442253164
03/01/2030 00:00:00,172.94904877479905,68099.50182333209,0.0
03/01/2030 01:00:00,513.0,60208.56973926591,2854.7090406258008
03/01/2030 02:00:00,552.2488743508029,51215.787646400124,1125.0
03/01/2030 03:00:00,7104.155437699785,53266.46996706311,1125.0
03/01/2030 04:00:00,12846.299606415,53318.53615279712,1125.0
03/01/2030 05:00:00,3874.9184793446157,56703.9106940777,1125.0
03/01/2030 06:00:00,927.0391794629936,74894.05403552114,147.97861095679997
03/01/2030 07:00:00,487.0,74858.33247631599,3547.9427578438035
03/01/2030 08:00:00,5051.390816295481,82329.9447977941,3078.2411881170015
03/01/2030 09:00:00,0.0,70251.83731498904,453.29556172808265
03/01/2030 10:00:00,4492.155342522763,58904.1962599912,7709.0707824527035
03/01/2030 11:00:00,31301.406980328626,55919.3925571316,13675.100243781859
03/01/2030 12:00:00,39616.637220633005,56949.7080852425,17102.198750650798
03/01/2030 13:00:00,27300.915597905878,60485.02748348322,18903.85677088
03/01/2030 14:00:00,9643.520491551177,61763.85901689601,1844.8238646370023
03/01/2030 15:00:00,11539.859769895222,81188.19045245805,121.1403724412004
03/01/2030 16:00:00,4382.017167243888,89679.96923544933,1144.201025636202
03/01/2030 17:00:00,7318.836476276519,94607.356175944,6388.861978456202
03/01/2030 18:00:00,17287.980524613522,91015.82980609717,1725.9824883222136
03/01/2030 19:00:00,22550.972437100972,91283.8313218057,0.0
03/01/2030 20:00:00,23655.410105025272,89282.94654275145,54.9450642928
03/01/2030 21:00:00,18214.485346101017,93448.3554912452,3307.1924938760008
03/01/2030 22:00:00,9744.122562264103,90539.07357374553,0.0
03/01/2030 23:00:00,12217.447273329806,78100.7620300853,1125.0
04/01/2030 00:00:00,4646.197450456519,79952.42982089816,2697.1298173211294
04/01/2030 01:00:00,8613.345186681,72955.88511813332,5372.498981192997
04/01/2030 02:00:00,10742.733419506585,71097.59379222768,7203.503406279561
04/01/2030 03:00:00,16585.099580886414,67244.7805611699,9197.0
04/01/2030 04:00:00,20506.22487835331,73507.39557655083,9781.339104684015
04/01/2030 05:00:00,4755.015484723998,77186.89405340562,8516.119329342
04/01/2030 06:00:00,1955.6573720680049,88110.0,9026.845955672
