snapshot,BECCS,Biogas,Biomass,CCGT,CCGT CCS,DSR,Hard coal,Hydro,Lignite,Nuclear,Oil,Other RES,PV,SCGT,Wind,Wind offshore
01/01/2030 00:00:00,550.0,13330.677109,21801.665958,59758.36649635056,860.0,65179.9734,6453.381132,19817.7269224909,4383.5770134,99799.1,5103.763269633,10631.659101822,0.0,4378.4075232,65984.490805,34494.02291
01/01/2030 01:00:00,550.0,13330.677109,21801.665958,45181.1580682246,860.0,65179.9734,6591.8818188000005,19718.2470265909,4475.1005154,99799.1,5263.430020293999,10771.43729187,0.0,4504.0100544,66624.80003299999,35227.878020000004
01/01/2030 02:00:00,550.0,13330.423109,21800.920958000002,42692.1734277796,860.0,68615.088119782,6983.6882508,19829.5710118909,4738.2394994999995,99799.1,5728.168727476,11158.386941838,0.0,4735.7548092,66926.259845,36017.57048
01/01/2030 03:00:00,550.0,13329.915109,21799.430958,46247.6782641,860.0,65465.389690583994,7720.2598383,19772.7253570909,5213.2340475,99799.1,6793.927189756,12028.799151918,0.0,5297.2579233,67639.199633,36897.23915
01/01/2030 04:00:00,550.0,13329.915109,21799.430958,46729.4742978396,860.0,72740.251463188,10025.3348208,19917.2068183909,6748.1242551000005,99799.1,8931.989871220001,13944.870964902,0.0,6548.001165,69562.355337,37449.26752
01/01/2030 05:00:00,550.0,13329.915109,21799.430958,47603.3466297699,860.0,69534.13247001001,12146.6464362,20142.2146453909,8218.472373,99799.1,10407.339730074,15258.82944867,0.0,7943.7701223,70877.671109,38158.52945
01/01/2030 06:00:00,550.0,13330.169109,21800.175958,48522.9008478996,860.0,68056.276055842,11600.6019111,20300.900052490902,7835.547816,99799.1,10112.51014111,14929.983812502,71.266,8362.2717783,71684.851242,38185.01948
01/01/2030 07:00:00,550.0,13329.915109,21799.430958,54730.042153610026,860.0,67944.05,11552.9057226,20315.1114661909,7798.528853100001,99799.1,9840.11149856,14759.18516703,7082.01642,8166.0345435,71907.52398299999,37565.77814
01/01/2030 08:00:00,550.0,13332.455109,21806.880958,62401.5379947396,860.0,68218.4745,11063.8289889,20488.0157548909,7460.9855262,99799.1,9342.213809922,14341.04697831,28054.582739999998,7930.625168699999,70540.738209,35729.032439999995
01/01/2030 09:00:00,550.0,13333.471109,21809.860958,62017.735136,860.0,68218.4745,10617.8585832,20684.6007544909,7160.1970131,99799.1,8876.210051016,13952.102677782,66648.821021,7599.1212549,68265.65674600001,34167.36554
01/01/2030 10:00:00,550.0,13348.965108999999,21855.305958,58144.760139564,860.0,66279.1875,10214.8210503,20627.7550996909,6889.5429408,99799.1,8503.799460638,13628.21243379,107122.927432,7291.5751206,63306.717080999995,33320.24909
01/01/2030 11:00:00,550.0,13349.727109,21857.540958,52840.8960987796,860.0,71493.3832,9947.148787799999,20504.5944928909,6703.8049953,99799.1,8273.586596126,13418.864561406,130994.44550199999,7057.2642156,61709.902451,31347.46834
01/01/2030 12:00:00,550.0,13349.727109,21857.540958,51466.95013559161,860.0,66426.8082,9785.2671954,20618.2858024909,6598.808292600001,99799.1,8168.91261719,13329.347850486,129392.061743,6935.7586473,62348.469571,30029.613599999997
01/01/2030 13:00:00,550.0,13349.727109,21857.540958,54702.342717636704,860.0,73478.3077,9862.2453672,20838.5515129909,6646.0927293,99799.1,8221.56541896,13399.756071222,107963.537255,6944.3561628,62291.841311,28561.98659
01/01/2030 14:00:00,550.0,13349.727109,21857.540958,69694.83807356571,860.0,68273.2764,10040.5358046,21073.0361050909,6777.385776,99799.1,8381.127469114,13574.822641614,72147.880623,7068.6570573,62679.489606,26784.474110000003
01/01/2030 15:00:00,550.0,13349.727109,21857.540958,82859.540445512,860.0,70566.6104,10396.1489067,21276.7305454909,7017.2880606,99799.1,8673.24551903,13846.188049494001,30447.881383,7247.6755803,62843.767771,25098.63447
01/01/2030 16:00:00,550.0,13349.727109,21857.540958,91070.60033565306,860.0,73659.9134,10599.4120806,21428.3139796909,7155.5014566,99799.1,8876.438569188,13992.24515739,5834.76405,7425.6004683,62509.86327,24470.10565
01/01/2030 17:00:00,550.0,13354.299109,21870.950958,100433.8632556184,860.0,71936.2384,10508.9977278,21257.7770152909,7084.3929606,99799.1,8886.80045033,13960.713723918001,0.0,7470.1943649,62342.629064,24758.87123
01/01/2030 18:00:00,550.0,13350.489109,21859.775958000002,89042.11054247,860.0,66903.6484,10403.039615400001,21032.769188290902,7017.60627,99799.1,8839.37448298,13881.157466718,0.0,7418.4091047,60684.471276,25264.918429999998
01/01/2030 19:00:00,550.0,13349.981109,21858.285958,88414.97131346451,860.0,68842.9354,10030.5728352,20528.2826716909,6769.1059029,99799.1,8488.626859702,13544.115796494001,0.0,7204.8829284,58862.566144,25653.541810000002
01/01/2030 20:00:00,550.0,13350.235109,21859.030958,78186.4527092186,860.0,71936.2384,9133.9191837,20497.4925199909,6176.3902281,99799.1,7614.71439248,12764.27896983,0.0,6702.485274000001,57602.125235,25741.64544
01/01/2030 21:00:00,550.0,13350.235109,21859.030958,74834.53504547861,860.0,69701.7169,7699.6603809,20310.3768175909,5232.6171522,99799.1,6183.81196409,11548.488178398,0.0,5802.7329297,55796.372446999994,25304.2531
01/01/2030 22:00:00,550.0,13350.235109,21859.030958,53235.5057386,860.0,68273.2764,6547.7841903,19971.677680990902,4454.3981871,99799.1,5242.130089708,10677.210328326,0.0,4875.0250959,53751.04866,25851.26999
