snapshot,BECCS,Biogas,Biomass,CCGT,CCGT CCS,DSR,Hard coal,Hydro,Lignite,Nuclear,Oil,Other RES,PV,SCGT,Wind,Wind offshore
15/02/2030 15:00:00,0.0,326.47392432,0.0,61450.660864258,0.0,6149.959,6931.50944314,7.400174695249007e-09,5001.93734433,0.0,5644.9448779636,-4.988010005035904e-13,-2.1884716261411086e-12,11530.772749938,-3.410605131648481e-13,-8.526512829121202e-14
15/02/2030 16:00:00,0.0,123.95735891999999,0.0,56139.6868643252,0.0,5137.617,5789.351106868081,7.4010841899507795e-09,5007.84873855,0.0,5642.7680530823,-6.277645070440485e-13,8.597567102697212e-13,11539.0652205,-5.542233338928781e-13,-8.810729923425242e-13
15/02/2030 17:00:00,0.0,123.95735891999999,0.0,37029.85529618746,0.0,0.0,6939.3242271399995,7.4010841899507795e-09,5007.36482997,0.0,5645.1030364771395,-5.776712441729614e-13,0.0,11545.785196994999,6.366462912410498e-12,-2.2737367544323206e-13
15/02/2030 18:00:00,0.0,123.95735891999999,1.8189894035458565e-14,57183.136964495,0.0,0.0,5704.066247245698,7.4010841899507795e-09,5004.74486685,0.0,5642.59877699968,-5.414335646491964e-13,0.0,11544.785642589,-2.5153212845907547e-12,2.4726887204451486e-12
15/02/2030 19:00:00,0.0,123.95735892,0.0,55472.86238298045,0.0,0.0,5903.275384015407,7.4010841899507795e-09,4998.5511048,0.0,5631.76381265798,-6.297629084883738e-13,0.0,11536.49367708,5.453415496958769e-12,2.842170943040401e-14
15/02/2030 20:00:00,0.0,123.95735891999999,0.0,58178.07129534532,0.0,0.0,6901.15119529,7.400174695249007e-09,4981.84389585,0.0,5597.8933594696,-5.819345005875221e-13,0.0,11512.887120471,5.569766869939485e-12,3.410605131648481e-13
15/02/2030 21:00:00,0.0,123.95735891999999,0.0,58421.187380198164,0.0,0.0,6168.150615600081,7.4010841899507795e-09,4949.70353013,0.0,5539.04223220172,-4.620304139280052e-13,0.0,11465.948522147999,1.2079226507921703e-13,-1.3926637620897964e-12
15/02/2030 22:00:00,0.0,123.95735891999999,1.8189894035458565e-14,58881.92529160243,0.0,0.0,6817.28563909,7.400629442599893e-09,4924.97752605,0.0,5500.62669629088,-5.434985794749991e-13,0.0,11419.097660399999,-1.9468870959826745e-12,3.453237695794087e-12
15/02/2030 23:00:00,0.0,718.2658545600001,0.0,63411.75163984735,0.0,712.5937,6799.04306965,7.4010841899507795e-09,4910.35827159,0.0,5482.56527206868,-4.678923914980259e-13,0.0,11390.115823131,-6.366462912410498e-12,3.4994229736184934e-12
16/02/2030 00:00:00,0.0,718.1520625600001,0.0,65794.9723099758,0.0,3064.285021028987,6532.35603333736,-6.099998728359424e-09,4913.63180412,0.0,5489.35251596741,-5.38769029390096e-13,0.0,11372.880275211,5.861977570020827e-14,2.9842794901924208e-12
