snapshot,EN_NorthEast,EN_NorthWest,EN_Yorkshire,EN_EastMidlands,EN_WestMidlands,EN_East,EN_London,EN_SouthEast,EN_SouthWest,EN_Wales,Scotland,NorthernIreland
2030-07-31 04:00:00,883.3223064399925,2395.2846982032725,1810.6730225433516,1628.6458810499155,1880.564068788838,2062.371338005963,2995.0783962632477,2975.5671990144306,1851.529819766174,1181.8695132285281,1932.9907158787769,619.4466568279508
2030-07-31 05:00:00,1036.688206869998,2811.163468441386,2125.0492094256483,1911.4177981721143,2207.075014593542,2420.4483784795325,3515.095712425719,3492.196904207819,2172.9997248180234,1387.070356415181,2268.604182789146,726.9974269150968
2030-07-31 06:00:00,1226.4678676094657,3325.784591541413,2514.0679282139163,2261.328425942932,2611.1096555978493,2863.5438714746056,4158.581060624114,4131.490318875831,2570.796427655056,1640.9921623331065,2683.9025620981442,860.0840426633113
2030-07-31 07:00:00,1300.1340705869864,3525.5435328478266,2665.0721601144733,2397.152187187523,2767.942573088586,3035.5389229896887,4408.360842549846,4379.642930507791,2725.2079833549606,1739.5562298537436,2845.107691178922,911.7438760253192
2030-07-31 08:00:00,1314.5824396909989,3564.7228416646863,2694.6890643471093,2423.7917010519186,2798.7026745730723,3069.272818424911,4457.35088599058,4428.313832251935,2755.493176028157,1758.8878903760803,2876.7253273849005,921.8760711174677
2030-07-31 09:00:00,1311.9784043823975,3557.6615392580807,2689.3511979209375,2418.99045087569,2793.1587692516396,3063.1929450372922,4448.521390981752,4419.541856277981,2750.034863710617,1755.4037375134517,2871.0268682396386,920.0499415672292
2030-07-31 10:00:00,1317.152397365223,3571.691736537169,2699.957076935346,2428.530119803582,2804.174029734397,3075.2731277214903,4466.064834062831,4436.971014010535,2760.8800582960125,1762.3264479708657,2882.3492138058127,923.6783030750229
2030-07-31 11:00:00,1320.1699664106077,3579.874408827324,2706.1426230540214,2434.093832347372,2810.598334747944,3082.3185151913685,4476.2964967200205,4447.136023324515,2767.2051777116544,1766.363901607892,2888.9526165578163,925.7944310650931
2030-07-31 12:00:00,1302.7207931424316,3532.5578886615335,2670.3745380956493,2401.921516575708,2773.4496201293205,3041.5783747490627,4417.13163525649,4388.356586590986,2730.6300064511174,1743.017218561005,2850.76826450281,913.557864676381
2030-07-31 13:00:00,1284.3642343749693,3482.7808321932353,2632.7464543207348,2368.0761878560393,2734.3691116976624,2998.7196804871533,4354.8901043981305,4326.520523177873,2692.1528665685923,1718.4564698774493,2810.5982637971865,900.6849768567608
2030-07-31 14:00:00,1276.1882319097224,3460.6101551315346,2615.9869238660635,2353.001494687535,2716.9626719979346,2979.6304386318798,4327.167756425115,4298.978770210376,2675.0151669310767,1707.5171242011236,2792.706564761509,894.951398799929
2030-07-31 15:00:00,1311.6066184870858,3556.6533760320917,2688.5890947951643,2418.3049620539796,2792.3672493376644,3062.3249033623833,4447.260777619036,4418.289455079596,2749.2555641653444,1754.9062946073757,2870.2132822148174,919.7892195994633
2030-07-31 16:00:00,1341.4662964086383,3637.6231750480665,2749.796779555542,2473.3594320949414,2855.9375192102657,3132.040955429142,4548.505901409304,4518.875025656425,2811.844365192214,1794.858011837901,2935.5557736029396,940.728889669622
2030-07-31 17:00:00,1344.7885918244513,3646.63216679931,2756.6069672282338,2479.4849909143504,2863.0105766201473,3139.797814722751,4559.770798891636,4530.066538870408,2818.808220839923,1799.3031839311009,2942.8260147678607,943.0587128534316
2030-07-31 18:00:00,1329.1594491254255,3604.250981494606,2724.5696612026913,2450.6683984932934,2829.7366470799593,3103.3070619079795,4506.777109828553,4477.418072931214,2786.048011396947,1778.3916693693077,2908.6244696307085,932.0984777009685
