snapshot,Biogas,Biogas_CHP,Biomass,Biomass_CHP,CCGT,Hydro,Nuclear,Oil,PV,SCGT,SCGT_CHP,Wind,Wind offshore
2030-01-01 00:00:00,-1.2543182492663618e-10,-3.838556139612592e-12,-6.867370672125617e-10,1.471402555353052e-11,6574.4553395154135,5.133390726386189e-10,-3.999957698397338e-09,51.8,0.0,3198.6250517358735,266.89435109655653,-1.3676249022154252e-10,6.383942263710196e-10
2030-01-01 01:00:00,-1.2543182492663618e-10,3.341575904869387e-12,-6.867370672125617e-10,1.1796696952615093e-11,7352.838625201222,5.133390726386189e-10,-3.999957698397338e-09,51.8,0.0,3198.6250517358735,267.3966763649279,1.6164453109368537e-10,3.413575200283958e-09
2030-01-01 02:00:00,-1.2543182492663618e-10,3.663114256369223e-13,-6.867370672125617e-10,2.514397579034267e-12,7878.366062855019,5.133390726386189e-10,-3.999957698397338e-09,51.8,0.0,3198.6250517358735,265.1123543759435,-6.275238106923098e-10,-6.5368368495910545e-09
2030-01-01 03:00:00,-1.2543182492663618e-10,-9.708589487900098e-13,-6.867370672125617e-10,6.182006018207175e-12,8452.209797716616,5.133390726386189e-10,-3.999957698397338e-09,51.8,0.0,3198.6250517358735,262.08885945318974,-5.396512126054631e-10,-5.655920176650397e-10
2030-01-01 04:00:00,-1.2543182492663618e-10,-2.5437429940211676e-14,-6.867370672125617e-10,5.803180158636678e-12,8781.431762245253,5.133390726386189e-10,-3.999957698397338e-09,51.8,0.0,3198.6250517358735,262.1313705726202,1.330507926056157e-10,4.480426696318318e-09
2030-01-01 05:00:00,-1.2543182492663618e-10,-2.9763036479835136e-12,-6.867370672125617e-10,-1.1295639978925465e-11,8779.188820054995,5.133390726386189e-10,-3.999957698397338e-09,51.8,0.0,3198.6250517358735,261.9821478676808,-4.234035344552467e-10,-2.546158839322743e-09
2030-01-01 06:00:00,-1.2543182492663618e-10,-2.5418778193397885e-12,-6.867370672125617e-10,4.400710906793393e-12,8153.105245130502,5.133390726386189e-10,-3.999957698397338e-09,51.8,0.0,3198.6250517358735,262.24242002745876,2.7534385882432844e-10,3.1874236583462334e-09
2030-01-01 07:00:00,-1.2543182492663618e-10,1.920552605838566e-12,-6.867370672125617e-10,-1.3158718559225237e-12,7177.1758275568045,5.133390726386189e-10,-3.999957698397338e-09,51.8,0.0,3198.6250517358735,261.93096100959116,3.706076001641634e-09,3.1282638701668475e-09
2030-01-01 08:00:00,-1.2543182492663618e-10,2.5429969241486104e-12,-6.867370672125617e-10,-8.32049096288756e-12,5084.878691579473,5.133390726386189e-10,-3.999957698397338e-09,51.8,0.0,3198.6250517358735,282.8542399341397,3.435496109815972e-09,2.527798415030702e-09
2030-01-01 09:00:00,-1.2543182492663618e-10,9.794831612452999e-14,-6.867370672125617e-10,8.527152317583387e-12,4546.133727848299,5.133390726386189e-10,-3.999957698397338e-09,51.8,-6.549605302552663e-11,3198.6250517358735,290.97126102374773,-2.4615623983592627e-09,4.14078726862499e-09
2030-01-01 10:00:00,-1.2543182492663618e-10,-1.1386092069187727e-11,-6.867370672125617e-10,-2.493678152859502e-11,4939.312259103264,5.133390726386189e-10,-3.999957698397338e-09,51.8,8.620304470241535e-11,3198.6250517358735,419.58735149961444,4.850863710714748e-09,-7.751339126116363e-09
2030-01-01 11:00:00,-1.2543182492663618e-10,1.6053487428280277e-11,-6.867370672125617e-10,1.07819531081077e-11,4904.655132224822,5.133390726386189e-10,-3.999957698397338e-09,51.8,3.4705038842730573e-10,3198.6250517358735,427.65665602659647,8.804037499032802e-10,2.3164261619967874e-09
2030-01-01 12:00:00,-1.2543182492663618e-10,7.027267656667391e-12,-6.867370672125617e-10,-3.7880596437389615e-11,4411.278113430495,5.133390726386189e-10,-3.999957698397338e-09,51.8,-2.0058124050592596e-09,3198.6250517358735,427.15346318435917,6.21575901860183e-10,-1.2919798564325902e-09
2030-01-01 13:00:00,-1.2543182492663618e-10,1.4906689216331872e-11,-6.867370672125617e-10,-3.618659150106396e-11,3921.7143675632806,5.133390726386189e-10,-3.999957698397338e-09,51.8,1.0577139164524851e-09,3198.6250517358735,426.5739238419203,2.6694679799987853e-10,-1.0487980262041674e-08
2030-01-01 14:00:00,-1.2543182492663618e-10,1.4901200273698125e-11,-6.867370672125617e-10,1.4969145922805184e-11,1831.48243288706,5.133390726386189e-10,-3.999957698397338e-09,51.8,1.7319123912784562e-10,3198.6250517358735,426.989491723699,-2.1578772102515131e-10,-1.0324043842047104e-09
2030-01-01 15:00:00,-1.2543182492663618e-10,-2.3527313430804498e-12,-6.867370672125617e-10,1.4961862859763643e-11,616.7580587429449,5.133390726386189e-10,-3.999957698397338e-09,51.8,4.823750288096562e-10,3198.6250517358735,426.8506799051508,1.7792323170340296e-10,6.040608013790916e-09
2030-01-01 16:00:00,-1.2543182492663618e-10,8.777956139738308e-12,-6.867370672125617e-10,-1.2831300466586981e-11,-7.481588681912399e-09,5.133390726386189e-10,-3.999957698397338e-09,51.8,0.0,3198.6250517358735,427.67487507778094,1.0309553211129696e-10,-8.57950510635419e-09
2030-01-01 17:00:00,-1.2543182492663618e-10,-2.7942288483018275e-11,-6.867370672125617e-10,7.425207115829834e-12,-7.481588681912399e-09,5.133390726386189e-10,-3.999957698397338e-09,51.8,0.0,3198.6250517358735,464.23357021405633,-6.124578622035415e-11,-9.70366897945496e-09
