snapshot,EN_East,EN_EastMidlands,EN_EastMidlands_Battery,EN_EastMidlands_OtherStorage,EN_East_Battery,EN_East_OtherStorage,EN_London,EN_London_Battery,EN_London_OtherStorage,EN_NorthEast,EN_NorthEast_Battery,EN_NorthEast_OtherStorage,EN_NorthWest,EN_NorthWest_Battery,EN_NorthWest_OtherStorage,EN_SouthEast,EN_SouthEast_Battery,EN_SouthEast_OtherStorage,EN_SouthWest,EN_SouthWest_Battery,EN_SouthWest_OtherStorage,EN_Wales,EN_Wales_Battery,EN_Wales_OtherStorage,EN_WestMidlands,EN_WestMidlands_Battery,EN_WestMidlands_OtherStorage,EN_Yorkshire,EN_Yorkshire_Battery,EN_Yorkshire_OtherStorage,NorthernIreland,NorthernIreland_Battery,NorthernIreland_OtherStorage,Scotland,Scotland_Battery,Scotland_OtherStorage
2030-01-01 00:00:00,906.5308716650038,2553.4937914416428,0.0,0.0,0.0,0.0,-4083.0260674221568,0.0,0.0,-1609.1252071485192,0.0,0.0,1273.687223424491,0.0,0.0,-3703.2265171147496,0.0,0.0,-2377.5656558394608,0.0,0.0,4087.757128983293,0.0,0.0,-2498.8489584136496,0.0,0.0,1787.9718452975017,0.0,0.0,-499.9999999996209,0.0,0.0,4162.351545119792,0.0,0.0
2030-01-01 01:00:00,977.6478652105375,1565.6996077246663,0.0,0.0,0.0,0.0,-3975.8963928442768,0.0,0.0,-795.3249006066778,0.0,0.0,1339.1135356792197,0.0,0.0,-3598.530305189386,0.0,0.0,-2310.0274428595253,0.0,0.0,4791.734125150342,0.0,0.0,-2431.5618308505245,0.0,0.0,657.7265910060823,0.0,0.0,-437.80951197220156,0.0,0.0,4217.228659546445,0.0,0.0
2030-01-01 02:00:00,-675.3898865156975,888.9831562939103,0.0,0.0,0.0,0.0,-3830.2783568303194,0.0,0.0,-751.474233876449,0.0,0.0,1414.9547988813042,0.0,0.0,-3457.2319787339097,0.0,0.0,-2216.1263633057965,0.0,0.0,5150.073423816529,0.0,0.0,-2340.045469040605,0.0,0.0,1886.7678691450765,0.0,0.0,-377.6157564099308,0.0,0.0,4307.38279657422,0.0,0.0
2030-01-01 03:00:00,-657.5448662526583,3316.4043853679304,0.0,0.0,0.0,0.0,-3699.655775019701,0.0,0.0,-711.0586776679183,0.0,0.0,1520.6816983923532,0.0,0.0,-3327.1385559937585,0.0,0.0,-2132.8888412563183,0.0,0.0,2214.7740867213734,0.0,0.0,-2257.9668586701514,0.0,0.0,790.6923335708066,0.0,0.0,499.9999999997824,0.0,0.0,4443.701070815619,0.0,0.0
2030-01-01 04:00:00,-587.8726589615608,3032.576364115909,0.0,0.0,0.0,0.0,-3771.5258004907387,0.0,0.0,-681.3940704008405,0.0,0.0,1636.2846683312287,0.0,0.0,-3234.2893699520205,0.0,0.0,-2076.132471666877,0.0,0.0,1878.0418568644336,0.0,0.0,-2201.869345177229,0.0,0.0,885.5262798708955,0.0,0.0,499.99999999993713,0.0,0.0,4620.654547459567,0.0,0.0
2030-01-01 05:00:00,-604.3431328366219,3081.7282845436507,0.0,0.0,0.0,0.0,-3635.034128388656,0.0,0.0,-688.4736150703188,0.0,0.0,1619.4367623461244,0.0,0.0,-3258.535759544945,0.0,0.0,-2091.3084191017424,0.0,0.0,1808.5688092296396,0.0,0.0,-2217.360649980358,0.0,0.0,873.2673927180435,0.0,0.0,499.99999999976546,0.0,0.0,4612.054456080416,0.0,0.0
2030-01-01 06:00:00,-726.1274099789298,3345.0053660214353,0.0,0.0,0.0,0.0,-3808.148584529729,0.0,0.0,-738.7559830777891,0.0,0.0,1457.0565300395024,0.0,0.0,-3432.491331299162,0.0,0.0,-2195.7490355946816,0.0,0.0,2673.715214571299,0.0,0.0,-2326.0094608513396,0.0,0.0,747.5567288523921,0.0,0.0,500.00000000042644,0.0,0.0,4503.947965836271,0.0,0.0
2030-01-01 07:00:00,911.8304684017935,764.1486006720988,0.0,0.0,0.0,0.0,-4075.1096385934165,0.0,0.0,-815.3095597603399,0.0,0.0,1227.7957892032946,0.0,0.0,-91.54172682961234,0.0,0.0,-2356.855709551104,0.0,0.0,819.106377702366,0.0,0.0,-2493.554737760651,0.0,0.0,1230.988129871791,0.0,0.0,499.9999999995507,0.0,0.0,4378.502006637874,0.0,0.0
2030-01-01 08:00:00,633.8135441021664,1622.6354113940556,0.0,0.0,0.0,0.0,-4648.894041060379,0.0,0.0,-934.4380606976997,0.0,0.0,21.495341015185204,0.0,0.0,-1752.7906846023816,0.0,0.0,-2611.054896554777,0.0,0.0,5370.901488698582,0.0,0.0,-2752.723999746823,0.0,0.0,354.26115076150427,0.0,0.0,500.00000000033685,0.0,0.0,4196.7947466973565,0.0,0.0
2030-01-01 09:00:00,416.69540155770756,1028.3017546737015,0.0,0.0,0.0,0.0,-4908.3838869959545,0.0,0.0,-1037.9743024127536,0.0,0.0,693.4110225187887,0.0,0.0,-845.0345488893681,0.0,0.0,-2747.17918390065,0.0,0.0,5317.583325928047,0.0,0.0,-2981.7127595142206,0.0,0.0,1375.9657382450496,0.0,0.0,-377.99655597920264,0.0,0.0,4066.3239947920592,0.0,0.0
2030-01-01 10:00:00,554.7629897417105,740.5380141499513,0.0,0.0,0.0,0.0,-5159.167049051355,0.0,0.0,-1025.0174992992413,0.0,0.0,728.715347034643,0.0,0.0,-770.3830059355405,0.0,0.0,-2303.0852812497064,0.0,0.0,4169.871230632971,0.0,0.0,-2969.0600814134305,0.0,0.0,1482.1865997959685,0.0,0.0,499.99999999873467,0.0,0.0,4050.6387355836177,0.0,0.0
