snapshot,BECCS,Biogas,Biomass,CCGT,CCGT CCS,DSR,Hard coal,Hydro,Lignite,Nuclear,Oil,Other RES,PV,SCGT,Wind,Wind offshore
01/07/2030 07:00:00,0.0,37.9476,111.303,7839.9472804565985,860.0,0.0,2365.6782167,28729.853654833198,14937.545369,97165.69262388001,1131.2534100149999,6622.01945679,195467.970092,797.6626119,9125.939128,14181.06129
01/07/2030 08:00:00,0.0,37.0332,108.621,3842.0795861,860.0,0.0,2297.6496017,27586.9866548572,14824.553177949,97610.12329833499,1054.665400779,6558.816814686,281354.477104,754.374393,9234.455243,14338.53697
01/07/2030 09:00:00,0.0,37.2618,109.2915,3414.4240349780025,860.0,0.0,2272.4557937,27398.1433496752,12976.599236205,86933.24797268001,1024.041411189,6378.1419830684,347617.472474,708.8388624,10211.001246,13967.9959
01/07/2030 10:00:00,0.0,30.861,90.5175,3139.7633118,860.0,0.0,1680.8926250110014,24216.4303679752,14459.112034587,80435.43602839201,978.013123407,6334.913546606001,385738.43050200003,675.7170543,11334.3229066,9957.18204
01/07/2030 11:00:00,0.0,28.575,83.8125,2964.7077583799996,860.0,0.0,1349.4287760840014,24474.5956709752,13339.615785358998,90247.516949192,842.3300159190001,6236.054615212401,393270.634713,618.5624760000001,12216.879057,10386.825120000001
01/07/2030 12:00:00,0.0,29.718,87.165,2636.1462132,860.0,0.0,1726.1595679950012,27980.7963755752,12603.813160311998,76644.779347944,808.913562975,6208.6837721324,378354.7444570726,568.3511205,14008.548064,11149.456750000001
01/07/2030 13:00:00,0.0,28.8036,84.483,3209.940349929,860.0,0.0,2032.1666684,27928.6928372752,12445.141213163,86795.77884250399,758.095252542,6172.8602432444,359613.618391,543.8777454,16156.913294,11988.90939
01/07/2030 14:00:00,0.0,59.436,174.33,3068.6816478,860.0,0.0,2070.0438812,27800.7901139752,14712.610099,86279.257490696,804.204058248,6214.2022570988,308735.898683815,543.7039419,18272.573183,13657.11507
01/07/2030 15:00:00,0.0,64.6938,189.7515,3743.6877203999998,860.0,0.0,2144.9911958,27751.0538999752,14764.226592,85959.832844552,884.548802745,6273.0125180348,250211.5657507962,587.483478,20226.656189,16061.651460000001
01/07/2030 16:00:00,0.0,68.1228,199.809,19151.98157045019,860.0,0.0,18206.092606,24505.385822675198,14771.005437,96294.513684424,898.608636342,6288.7491038396,183326.650188,617.0469669,27212.591548034405,18953.30186
