snapshot,Austria,Belgium,Bulgaria,Croatia,Czechia,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Italy,Latvia,Lithuania,Netherlands,Poland,Portugal,Romania,Slovakia,Slovenia,Spain,Sweden,Norway,Switzerland,UK
01/01/2030 00:00:00,0.0,9.094947017729282e-13,-5.684341886080801e-13,-2.2737367544323206e-13,0.0,9.094947017729282e-13,-5.684341886080802e-14,4.547473508864641e-13,-2.9558577807620168e-12,-1.000444171950221e-11,0.0,4.547473508864641e-13,0.0,0.0,0.0,-2.2737367544323206e-13,9.094947017729282e-13,1.8189894035458565e-12,4.547473508864641e-13,0.0,0.0,0.0,-9.094947017729282e-13,9.094947017729282e-13,-6.821210263296962e-13,0.0,8.85484041646123e-09
01/01/2030 01:00:00,2.2737367544323206e-13,9.094947017729282e-13,-2.2737367544323206e-13,1.1368683772161603e-13,-1.8189894035458565e-12,-4.547473508864641e-13,0.0,0.0,0.0,6.366462912410498e-12,-2.2737367544323206e-13,-2.2737367544323206e-13,0.0,0.0,0.0,0.0,-1.8189894035458565e-12,0.0,4.547473508864641e-13,-2.2737367544323206e-13,2.2737367544323206e-13,0.0,-2.2737367544323206e-12,9.094947017729282e-13,0.0,0.0,1.5405476005980745e-08
01/01/2030 02:00:00,1.8189894035458565e-12,0.0,5.684341886080801e-13,2.2737367544323206e-13,6.366462912410498e-12,4.547473508864641e-13,-5.684341886080802e-14,1.3642420526593924e-12,2.2737367544323206e-12,-7.275957614183426e-12,0.0,3.410605131648481e-13,0.0,5.684341886080801e-13,1.1368683772161603e-13,-2.2737367544323206e-13,0.0,3.637978807091713e-12,-2.2737367544323206e-13,0.0,0.0,0.0,-2.2737367544323206e-13,0.0,0.0,-9.094947017729282e-13,-2.607430360512808e-08
01/01/2030 03:00:00,-9.094947017729282e-13,1.8189894035458565e-12,4.547473508864641e-13,0.0,-6.821210263296962e-13,-4.547473508864641e-13,0.0,-1.1368683772161603e-13,0.0,-8.185452315956354e-12,2.2737367544323206e-13,0.0,0.0,0.0,0.0,0.0,-4.547473508864641e-13,0.0,0.0,0.0,2.2737367544323206e-13,-6.821210263296962e-13,4.547473508864641e-13,2.2737367544323206e-12,0.0,-9.094947017729282e-13,3.92128640669398e-09
01/01/2030 04:00:00,1.1368683772161603e-13,2.8421709430404007e-13,-4.547473508864641e-13,0.0,-6.821210263296962e-13,0.0,0.0,1.1368683772161603e-12,0.0,1.3642420526593924e-12,-1.1368683772161603e-13,0.0,0.0,4.547473508864641e-13,0.0,-4.547473508864641e-13,0.0,-1.8189894035458565e-12,0.0,-5.684341886080802e-14,2.2737367544323206e-13,1.1368683772161603e-13,-1.8189894035458565e-12,-4.547473508864641e-13,1.8189894035458565e-12,0.0,-4.130151864956133e-08
01/01/2030 05:00:00,0.0,0.0,-6.821210263296962e-13,0.0,-3.410605131648481e-12,0.0,-1.1368683772161603e-13,3.410605131648481e-13,3.637978807091713e-12,-1.8189894035458565e-11,-5.684341886080802e-14,0.0,0.0,9.094947017729282e-13,0.0,0.0,0.0,0.0,0.0,-4.547473508864641e-13,2.2737367544323206e-13,1.1368683772161603e-13,0.0,9.094947017729282e-13,1.3642420526593924e-12,-9.094947017729282e-13,-2.8200702217873186e-08
01/01/2030 06:00:00,0.0,0.0,0.0,0.0,-2.2737367544323206e-13,4.547473508864641e-13,0.0,9.094947017729282e-13,4.547473508864641e-12,-2.3646862246096134e-11,-4.547473508864641e-13,0.0,0.0,-9.094947017729282e-13,1.1368683772161603e-13,0.0,0.0,1.8189894035458565e-12,2.2737367544323206e-13,0.0,0.0,2.2737367544323206e-13,-1.8189894035458565e-12,9.094947017729282e-13,1.8189894035458565e-12,-9.094947017729282e-13,1.7726506484905258e-08
01/01/2030 07:00:00,1.8189894035458565e-12,-9.094947017729282e-13,4.547473508864641e-13,0.0,-2.3874235921539366e-12,0.0,0.0,-4.547473508864641e-13,8.185452315956354e-12,-1.6370904631912708e-11,2.2737367544323206e-13,-2.2737367544323206e-13,0.0,0.0,0.0,0.0,9.094947017729282e-13,-5.4569682106375694e-12,-4.547473508864641e-13,0.0,0.0,0.0,0.0,0.0,4.547473508864641e-13,9.094947017729282e-13,-1.6378180589526892e-08
01/01/2030 08:00:00,-4.547473508864641e-13,-4.547473508864641e-13,0.0,2.2737367544323206e-13,1.8189894035458565e-12,-4.547473508864641e-13,0.0,9.094947017729282e-13,2.7284841053187847e-12,1.0913936421275139e-11,0.0,0.0,0.0,0.0,-1.1368683772161603e-13,-1.1368683772161603e-13,0.0,1.8189894035458565e-12,-9.094947017729282e-13,-2.2737367544323206e-13,-4.547473508864641e-13,0.0,0.0,9.094947017729282e-13,-1.8189894035458565e-12,0.0,-1.6608282749075443e-08
01/01/2030 09:00:00,9.094947017729282e-13,9.094947017729282e-13,1.1368683772161603e-12,1.1368683772161603e-13,-4.547473508864641e-13,0.0,1.1368683772161603e-13,9.094947017729282e-13,7.275957614183426e-12,4.547473508864641e-12,-2.2737367544323206e-13,0.0,0.0,0.0,0.0,-2.2737367544323206e-13,9.094947017729282e-13,-5.4569682106375694e-12,0.0,0.0,-4.547473508864641e-13,-5.684341886080801e-13,-9.094947017729282e-13,9.094947017729282e-13,9.094947017729282e-13,0.0,4.324192559579387e-08
