snapshot,BECCS,Biogas,Biomass,CCGT,Hard coal,Hydro,Lignite,Nuclear,Oil,Other RES,PV,SCGT,Wind,Wind offshore
16/08/2030 23:00:00,0.0,4768.6092,6196.8948,62941.50553100411,1131.6425726410805,-3.8342875541275134e-09,3.4305891460917336e-15,0.0,5292.8357496609,-4.476419235288631e-13,0.0,10178.3115,1.2790463133072194e-13,2.255973186038318e-13
17/08/2030 00:00:00,0.0,4768.4172,6196.425552,69889.13060021971,1312.2182394071026,-1.3986465319248964e-09,4.5796699765787705e-17,0.0,5292.98212344689,-4.476419235288631e-13,0.0,10178.3115,-4.998966577490771e-09,-6.110667527536862e-13
17/08/2030 01:00:00,0.0,4768.4972,6196.621072,72154.3977493284,1720.7873373666628,-1.3986465319248964e-09,-2.5313084961453566e-15,0.0,5296.3751678146,-4.476419235288631e-13,0.0,10178.3115,-3.999168995960645e-09,1.0660361482450753e-12
17/08/2030 02:00:00,0.0,4768.5372,6196.718832,64715.211021649106,1700.8666598566072,-1.3986465319248964e-09,-2.3064883336587626e-15,0.0,5308.24059965767,-4.476419235288631e-13,0.0,10178.3115,2.001128152073761e-09,4.829470157119431e-13
17/08/2030 03:00:00,0.0,4768.5292,6196.69928,60102.71693676306,1159.820226787005,-1.3986465319248964e-09,1.5987211554602253e-15,25.596299717598598,5331.32586314988,-4.476419235288631e-13,0.0,10178.3115,-6.270539643082884e-13,1.1084466677857563e-12
17/08/2030 04:00:00,0.0,4768.5452,6196.738384,54248.509610442954,610.24,-1.3986465319248964e-09,-2.930988785010413e-15,0.0,5342.86866103024,-4.476419235288631e-13,-4.440892098500626e-15,10178.3115,2.9990934178377587e-09,-2.0605739337042905e-13
17/08/2030 05:00:00,0.0,4768.5372,6196.718832,50344.40588339415,486.5060378785135,-1.3986465319248964e-09,7.16093850883226e-16,0.0,5338.8895620434205,-4.476419235288631e-13,-3.999920394903711e-09,10178.3115,5.999440944037815e-09,6.768474669627267e-13
17/08/2030 06:00:00,0.0,4768.5772,6196.816592,51072.66926406095,75.37308246463908,-1.3986465319248964e-09,-9.442446824436956e-15,0.0,5327.30119922768,-4.476419235288631e-13,3.0000171236110873e-09,10178.3115,4.000056730291135e-09,-2.255973186038318e-13
17/08/2030 07:00:00,0.0,4768.7212,6197.168528,60496.29481459851,441.5752738002406,-1.3986465319248964e-09,-1.4988010832439613e-14,0.0,5324.94493945385,-4.476419235288631e-13,2.001712573473924e-09,10178.3115,6.001037888402755e-09,-2.2737367544323206e-13
17/08/2030 08:00:00,0.0,4768.6812,6197.070768,65653.07257617188,1385.2570292811965,-1.3986465319248964e-09,30.742971993600083,0.0,5321.38927385645,-4.476419235288631e-13,1.5999205515981885e-08,10178.3115,7.000567237014366e-09,-2.2726265314076954e-13
17/08/2030 09:00:00,0.0,4768.553199999999,6196.757936,72633.67785528582,1884.002493675197,-1.3986465319248964e-09,152.58040425600012,0.0,5319.87997816665,-4.476419235288631e-13,9.199641226587119e-08,10178.3115,-6.9984542607707395e-09,-9.095502129241595e-13
17/08/2030 10:00:00,0.0,4768.513199999999,6196.660175999999,76401.3446310191,2158.274803984241,-1.3986465319248964e-09,37.46272323519968,0.0,5318.0998240893305,-4.476419235288631e-13,4.5996245034984895e-08,10178.3115,-2.999357207478931e-09,-7.327471962526033e-15
17/08/2030 11:00:00,0.0,4768.4972,6196.621072,76674.66220197741,2085.7163366156,-1.3986465319248964e-09,19.083378742399947,0.0,5312.89916829876,-4.476419235288631e-13,8.99984797797515e-08,10178.3115,-1.999801213514729e-09,-4.618527782440651e-13
