snapshot,BECCS,Biogas,Biomass,CCGT,Hard coal,Hydro,Lignite,Nuclear,Oil,Other RES,PV,SCGT,Wind,Wind offshore
01/01/2030 00:00:00,0.0,13158.97,20221.576095388,28459.448481495998,6737.381132,10026.850118236,5012.442304191999,109738.59,5103.763269633,8451.49352,0.0,0.0,39287.1767137,5994.342410832
01/01/2030 01:00:00,0.0,13158.97,20019.561189418,26370.771684634,6875.8818188000005,10026.850118236,4475.1005154,109738.59,5263.430020293999,8451.49352,0.0,0.0,39615.777023991,6152.087418179
01/01/2030 02:00:00,0.0,13158.72,19942.469843516003,13297.141905737997,7267.6882508,10026.850118236,4738.2394995,109738.59,5728.168727476,8451.49352,0.0,0.0,39905.312777913,6302.830220195
01/01/2030 03:00:00,0.0,12889.480621040006,19812.745536522,10504.424513459,8004.2598383,10026.850118236,5213.2340475,109738.59,6793.927189756,8451.49352,0.0,0.0,40394.622589133,6445.278999201
01/01/2030 04:00:00,0.0,12576.22,19934.666901518,5202.586596279999,10286.883435906,10026.850118236,6748.1242551,109738.59,8931.989871220001,8451.49352,0.0,0.0,41350.46312197,6512.762249185
01/01/2030 05:00:00,0.0,13147.22,17051.082764477997,3688.025022454002,12366.824099932,10026.850118236,8218.472373,109738.59,10407.339730074,8451.49352,0.0,0.0,41919.425886687,6668.18919188
01/01/2030 06:00:00,0.0,12576.47,20540.119003992,5514.6886943619975,11843.48397845,10026.850118236,7835.547816,109738.59,10112.51014111,8451.49352,36.667469846,0.0,42214.257434513,6713.704233649
01/01/2030 07:00:00,0.0,13147.22,20648.015720318,7484.6760472020005,11552.9057226,10026.850118236,7798.528853100001,109738.59,9840.11149856,8451.49352,2878.470785376,0.0,42055.272885414,6603.995661405001
01/01/2030 08:00:00,0.0,12578.72,20675.128063198,9678.021959231008,11063.8289889,10026.850118236,7460.9855262,109738.59,9342.213809922,8451.49352,11971.534846739,0.0,41095.177298163,6215.7597619299995
01/01/2030 09:00:00,0.0,13150.72,20544.041560626,11797.611795335006,10617.8585832,10026.850118236,7160.1970131,109738.59,8876.210051016,8451.49352,27392.601673967,0.0,39591.083159103,5861.370935166
01/01/2030 10:00:00,0.0,13165.97,20572.406,12812.452608248,10214.8210503,10026.850118236,6889.5429408,109738.59,8503.799460638,8451.49352,42950.479962179,0.0,36927.399426617,5635.266738660001
01/01/2030 11:00:00,0.0,13166.72,17497.787469064002,12595.603528865995,9947.1487878,10026.850118236,6703.8049953,109738.59,8273.586596126,8451.49352,51990.223452165,0.0,35661.467989708,5248.112028920999
01/01/2030 12:00:00,0.0,12595.72,20655.189973028,13654.409726041995,9785.2671954,10026.850118236,6598.808292600001,109738.59,8168.91261719,8451.49352,50869.207158247,0.0,35686.357022452,5083.525611917999
01/01/2030 13:00:00,0.0,13177.72,20774.239,19976.075151879002,9862.2453672,10026.850118236,6646.0927293,109738.59,8221.56541896,8451.49352,41964.549669142,0.0,35664.836120226,4802.075198845
01/01/2030 14:00:00,0.0,12836.83079024603,20774.239,30639.351437523994,10040.5358046,10026.850118236,6777.385776,109738.59,8381.127469114,8451.49352,27742.737238255,0.0,35874.748089627,4504.8983093629995
01/01/2030 15:00:00,0.0,13177.72,20774.239,50958.430539839006,10680.1489067,10026.850118236,7950.936095086,109738.59,8673.24551903,8451.49352,11108.089462505,0.0,35963.570241156,4236.718310759
01/01/2030 16:00:00,0.0,13177.72,20774.239,72451.790985509,10883.4120806,10026.850118236,7155.5014566,109738.59,8876.438569188,8451.49352,2103.731190009,0.0,35882.044152579,4124.784705971
01/01/2030 17:00:00,0.0,13182.22,20785.237,77326.614121526,10792.9977278,10026.850118236,7084.3929606,109738.59,8886.80045033,8451.49352,0.0,0.0,35945.242000952,4183.00712672
01/01/2030 18:00:00,0.0,13178.47,17687.072,68560.254518884,10687.039615400001,10026.850118236,8057.395033819999,109738.59,8839.37448298,8451.49352,0.0,0.0,35127.819722769,4319.3155630500005
01/01/2030 19:00:00,0.0,13177.97,20774.85,58766.53780244,10314.5728352,10026.850118236,7549.38684135,109738.59,8488.626859702,8451.49352,0.0,0.0,34069.434095528,4457.799751363
01/01/2030 20:00:00,0.0,13178.22,20775.461,57854.950716219995,9417.9191837,10026.850118236,6176.3902281,109738.59,7614.71439248,8451.49352,0.0,0.0,33418.715055488,4544.85165957
