snapshot,Austria,Belgium,Bulgaria,Croatia,Czechia,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Italy,Latvia,Lithuania,Netherlands,Poland,Portugal,Romania,Slovakia,Slovenia,Spain,Sweden,Norway,Switzerland,UK
01/01/2030 00:00:00,-9.094947017729282e-13,9.094947017729282e-13,-6.821210263296962e-13,0.0,1.3642420526593924e-12,0.0,-1.1368683772161603e-13,1.8189894035458565e-12,4.774847184307873e-12,0.0,-4.547473508864641e-13,-2.2737367544323206e-13,4.547473508864641e-13,-1.3642420526593924e-12,-1.1368683772161603e-13,-2.2737367544323206e-13,0.0,1.8189894035458565e-12,4.547473508864641e-13,0.0,0.0,2.2737367544323206e-13,-9.094947017729282e-13,1.8189894035458565e-12,1.8189894035458565e-12,4.547473508864641e-13,8.853930921759456e-09
01/01/2030 01:00:00,-9.094947017729282e-13,9.094947017729282e-13,-4.547473508864641e-13,0.0,-1.3642420526593924e-12,-9.094947017729282e-13,0.0,1.8189894035458565e-12,-5.684341886080801e-13,5.229594535194337e-12,-9.094947017729282e-13,0.0,4.547473508864641e-13,0.0,-2.2737367544323206e-13,0.0,0.0,5.002220859751105e-12,9.094947017729282e-13,2.2737367544323206e-13,2.2737367544323206e-13,0.0,1.8189894035458565e-12,9.094947017729282e-13,0.0,0.0,1.5404111763928086e-08
01/01/2030 02:00:00,1.8189894035458565e-12,0.0,0.0,0.0,1.1368683772161603e-12,9.094947017729282e-13,0.0,1.8189894035458565e-12,2.7284841053187847e-12,9.094947017729282e-13,-9.094947017729282e-13,0.0,4.547473508864641e-13,0.0,0.0,-2.2737367544323206e-13,0.0,9.094947017729282e-13,0.0,0.0,0.0,2.2737367544323206e-13,0.0,-9.094947017729282e-13,0.0,-2.2737367544323206e-13,-2.6076122594531626e-08
01/01/2030 03:00:00,9.094947017729282e-13,6.821210263296962e-13,-2.2737367544323206e-13,2.2737367544323206e-13,0.0,4.547473508864641e-13,0.0,1.8189894035458565e-12,0.0,4.547473508864641e-13,-9.094947017729282e-13,0.0,0.0,-4.547473508864641e-13,-7.460698725481052e-14,-1.1368683772161603e-13,-2.2737367544323206e-13,9.094947017729282e-13,0.0,0.0,-2.2737367544323206e-13,0.0,-1.8189894035458565e-12,2.2737367544323206e-12,0.0,-1.3642420526593924e-12,3.923105396097526e-09
01/01/2030 04:00:00,9.094947017729282e-13,0.0,0.0,0.0,-1.1937117960769683e-12,0.0,0.0,1.8189894035458565e-12,7.275957614183426e-12,-5.002220859751105e-12,-9.094947017729282e-13,0.0,0.0,-4.547473508864641e-13,0.0,-2.2737367544323206e-13,0.0,1.1368683772161603e-12,0.0,0.0,4.547473508864641e-13,0.0,-9.094947017729282e-13,-4.547473508864641e-13,1.8189894035458565e-12,0.0,-4.1301063902210444e-08
01/01/2030 05:00:00,0.0,-4.547473508864641e-13,-2.2737367544323206e-13,-2.2737367544323206e-13,-1.1368683772161603e-13,-4.547473508864641e-13,0.0,0.0,3.637978807091713e-12,9.094947017729282e-12,-9.094947017729282e-13,4.547473508864641e-13,0.0,9.094947017729282e-13,-1.4210854715202004e-13,0.0,9.094947017729282e-13,-1.8189894035458565e-12,0.0,2.2737367544323206e-13,-2.2737367544323206e-13,0.0,4.547473508864641e-13,9.094947017729282e-13,1.8189894035458565e-12,0.0,-2.8196609491715208e-08
01/01/2030 06:00:00,4.547473508864641e-13,-9.094947017729282e-13,0.0,0.0,-9.094947017729282e-13,0.0,0.0,0.0,-5.4569682106375694e-12,0.0,-9.094947017729282e-13,0.0,0.0,9.094947017729282e-13,0.0,0.0,9.094947017729282e-13,-4.547473508864641e-13,-2.2737367544323206e-13,0.0,4.547473508864641e-13,-2.2737367544323206e-13,-9.094947017729282e-13,9.094947017729282e-13,1.8189894035458565e-12,-9.094947017729282e-13,1.7724232748150826e-08
01/01/2030 07:00:00,6.821210263296962e-13,-9.094947017729282e-13,4.547473508864641e-13,0.0,-1.5916157281026244e-12,0.0,0.0,-4.547473508864641e-13,7.275957614183426e-12,1.8189894035458565e-12,-9.094947017729282e-13,-2.2737367544323206e-13,0.0,0.0,1.3500311979441904e-13,-1.1368683772161603e-13,0.0,9.094947017729282e-13,-1.1368683772161603e-13,0.0,-2.2737367544323206e-13,0.0,-9.094947017729282e-13,0.0,0.0,9.094947017729282e-13,-1.6375452105421573e-08
01/01/2030 08:00:00,1.8189894035458565e-12,2.8421709430404007e-13,2.2737367544323206e-13,2.2737367544323206e-13,1.3642420526593924e-12,-4.547473508864641e-13,0.0,9.094947017729282e-13,-7.275957614183426e-12,1.8189894035458565e-12,-9.094947017729282e-13,-4.547473508864641e-13,0.0,0.0,0.0,-1.1368683772161603e-13,0.0,0.0,-3.410605131648481e-13,2.2737367544323206e-13,-4.547473508864641e-13,-2.2737367544323206e-13,-9.094947017729282e-13,9.094947017729282e-13,-1.8189894035458565e-12,4.547473508864641e-13,-1.661010173847899e-08
01/01/2030 09:00:00,0.0,9.094947017729282e-13,0.0,2.2737367544323206e-13,-4.547473508864641e-13,0.0,-1.1368683772161603e-13,9.094947017729282e-13,5.4569682106375694e-12,9.549694368615746e-12,6.821210263296962e-13,0.0,0.0,-1.1368683772161603e-13,2.842170943040401e-14,0.0,0.0,-9.094947017729282e-13,0.0,-6.821210263296962e-13,0.0,3.410605131648481e-13,-9.094947017729282e-13,9.094947017729282e-13,0.0,0.0,4.324374458519742e-08
