snapshot,BECCS,Biogas,Biomass,CCGT,Hard coal,Hydro,Lignite,Nuclear,Oil,Other RES,PV,SCGT,Wind,Wind offshore
11/04/2030 22:00:00,0.0,59.48964,1.8189894035458565e-14,68154.37188627596,6247.734323077,-6.748052783223102e-09,4805.93202894,0.0,5352.02540669866,-4.476419235288631e-13,0.0,10097.0065,2.7999817464596788e-08,2.2737367544323206e-13
11/04/2030 23:00:00,0.0,59.48964,926.6999999999999,66929.92956300765,6267.9681228208,-6.748052783223102e-09,4807.00478322,0.0,5356.98631961986,-4.476419235288631e-13,0.0,10097.0065,-1.999810184116768e-08,7.105427357601002e-15
12/04/2030 00:00:00,0.0,59.48964,1.8189894035458565e-14,66179.67748971975,6181.5144148091995,-3.1250237952917814e-09,4807.69581747,0.0,5358.92277838862,-4.476419235288631e-13,0.0,10097.0065,-5.000483582762172e-09,-1.7763568394002505e-14
12/04/2030 01:00:00,0.0,59.48964,1.8189894035458565e-14,67754.88979112316,6137.263123207999,-3.1250237952917814e-09,4811.07932688,0.0,5373.83745407555,-4.476419235288631e-13,0.0,10097.0065,-8.000135609531611e-09,-4.2810199829546036e-13
12/04/2030 02:00:00,0.0,59.48964,0.0,63966.229993552704,6490.3235046632,-3.1250237952917814e-09,4821.80135691,0.0,5411.1970344556,-4.476419235288631e-13,0.0,10097.0065,4.299950256969609e-08,1.2789769243681803e-13
12/04/2030 03:00:00,0.0,59.48964,926.6999999999999,57973.083147966805,6056.7079343512005,-3.1250237952917814e-09,4418.8453031432,0.0,5464.7230342281,-4.476419235288631e-13,0.0,10097.0065,-2.4998394465569618e-08,9.9253938401489e-14
12/04/2030 04:00:00,0.0,59.48964,0.0,49633.415199362265,5180.3582849912,-3.1250237952917814e-09,4847.1024558,0.0,5476.46890729,-4.476419235288631e-13,1.887379141862766e-15,10097.0065,-2.2001092503387554e-08,4.689582056016661e-13
12/04/2030 05:00:00,0.0,59.48964,0.0,38790.30712326331,4654.4553130928,-3.1250237952917814e-09,4845.46144704,0.0,5469.9580977946,-4.476419235288631e-13,2.2382096176443156e-13,10097.0065,-4.5998796827095845e-08,-2.1316282072803006e-14
12/04/2030 06:00:00,0.0,59.48964,-1.8189894035458565e-14,36135.270021906195,4875.06219065,-3.1250237952917814e-09,4157.29502975872,0.0,5452.52088551636,-4.476419235288631e-13,-9.999858718856558e-09,10097.0065,4.600233879936688e-08,-8.615330671091215e-14
12/04/2030 07:00:00,0.0,59.48964,0.0,58349.07183598901,5138.030850766399,-3.1250237952917814e-09,4834.98448683,0.0,5440.74335518342,-4.476419235288631e-13,3.998366082669236e-09,10097.0065,-8.000051301970679e-09,1.5587531265737198e-13
12/04/2030 08:00:00,0.0,59.48964,-1.8189894035458565e-14,64188.2100630881,5978.235017499599,-3.1250237952917814e-09,4831.05783099,0.0,5430.08885159884,-4.476419235288631e-13,4.699541023001075e-08,10097.0065,-1.4000065003128004e-08,1.4144241333724494e-13
