snapshot,Austria,Belgium,Bulgaria,Croatia,Czechia,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Italy,Latvia,Lithuania,Netherlands,Poland,Portugal,Romania,Slovakia,Slovenia,Spain,Sweden,Norway,Switzerland,UK
01/01/2030 00:00:00,5280.8,7082.92,3715.14,1521.25,5298.83,3388.95,776.5,8809.4,45709.0,37777.205,3987.0,3807.605,3303.715,19857.0,546.0,978.87,9768.5325,12508.71,4542.1,4814.5,2201.0,945.06,19251.0,13595.0,16546.67,7373.01,35242.742944391146
01/01/2030 01:00:00,5143.0,6820.1925,3563.29,1437.5,5203.81,3342.47,757.0,8631.8,44640.0,36939.9325,3776.0,3585.595,3167.21,18810.0,523.0,947.68,9553.945,11845.2,4397.2,4663.75,2211.0,912.84,18104.0,13802.0,16522.07,7464.26,34368.0755730846
01/01/2030 02:00:00,4958.7,6588.475,3477.78,1362.0,5051.55,3192.26,743.7,8587.3,41533.0,35932.3875,3632.0,3441.8325,3007.45,17892.0,518.0,937.41,9296.33,11462.4,4146.6,4566.75,2164.0,883.43,17090.0,13819.0,16442.2,6896.76,33178.502943826075
01/01/2030 03:00:00,4905.4,6430.72,3432.44,1324.75,4980.12,3106.97,737.6,8627.7,39248.0,35486.24,3621.0,3384.61,2908.805,17407.0,514.0,933.6,9135.8125,11454.2,3955.7,4520.75,2152.0,856.81,16531.0,13890.0,16406.04,7145.96,32111.00825749608
01/01/2030 04:00:00,5025.8,6464.385,3443.06,1320.5,4952.0,3073.45,749.4,8825.4,38389.0,35647.1575,3684.0,3416.9425,2840.69,17455.0,534.0,961.83,9080.45,11560.6,3801.3,4484.25,2166.0,869.42,16180.0,13441.0,16614.37,7148.45,31381.8724811413
01/01/2030 05:00:00,5163.4,6634.065,3514.57,1358.75,4973.02,3088.42,763.5,8868.3,38596.0,35231.6025,3796.0,3516.645,2795.895,18089.0,548.0,981.96,9176.2475,11651.36,3693.4,4430.25,2217.0,913.32,16229.0,13488.0,16468.83,7148.89,31583.3754322282
01/01/2030 06:00:00,5439.5,6715.9325,3646.95,1346.25,4986.27,3117.77,782.7,9056.4,39026.0,36172.13,3916.0,3532.485,2837.53,18419.0,554.0,981.99,9417.83,11707.08,3687.2,4388.75,2248.0,966.23,16512.0,13904.0,16539.25,7165.62,32997.680111582275
01/01/2030 07:00:00,5696.1,6827.96,3674.68,1433.25,5091.37,3295.17,797.2,9156.9,39316.0,36829.345,4319.0,3534.175,2888.1,18967.0,567.0,999.68,9719.5525,11897.46,3638.7,4376.25,2264.0,966.41,16511.0,14255.0,16710.39,7154.78,35178.46312671638
01/01/2030 08:00:00,5847.1,7008.1,3618.76,1574.5,5412.34,3498.47,841.1,9296.0,39420.0,39226.5975,4669.0,3573.4975,2941.28,20504.0,602.0,1046.18,10049.9525,12449.15,3637.6,4303.25,2427.0,1035.57,16890.0,14338.0,16906.26,6961.26,38555.09411751661
01/01/2030 09:00:00,5884.5,7342.4425,3502.04,1705.5,5696.34,3683.5,885.4,9449.5,40922.0,41005.5475,4946.0,3592.495,3065.515,21519.0,632.0,1073.07,10083.84,13041.71,3979.0,4224.75,2463.0,1025.4,18153.0,14623.0,17374.52,6956.48,42027.80345355676
01/01/2030 10:00:00,5891.2,7941.815,3381.52,1772.25,5847.79,3756.29,905.9,9499.2,42797.0,43702.865,4986.0,3627.3925,3285.7,22795.0,651.0,1106.39,10059.7175,13588.39,4493.4,4275.25,2590.0,1012.63,19232.0,14895.0,17880.6,6952.93,44283.001517023855
01/01/2030 11:00:00,5767.5,7889.0325,3257.35,1754.5,5882.44,3816.13,914.7,9527.7,44484.0,44205.64,4704.0,3690.8875,3522.725,23187.0,656.0,1124.16,10393.025,14026.55,5031.8,4316.25,2557.0,1001.4,19745.0,15275.0,17855.74,6941.52,45493.23302362412
01/01/2030 12:00:00,5657.8,7599.21,3269.17,1659.75,5921.61,3866.21,911.8,9550.6,43762.0,43621.6725,4216.0,3709.4725,3739.06,22455.0,659.0,1145.21,10476.195,14417.11,5340.7,4357.0,2460.0,986.42,20358.0,15431.0,17965.99,6948.93,46078.46673163296
01/01/2030 13:00:00,5690.1,7704.0975,3448.29,1589.0,5947.78,3865.72,928.1,9746.3,43288.0,43231.73,4167.0,3892.7825,3868.04,21605.0,671.0,1164.54,11034.3625,14699.2,5169.3,4467.0,2451.0,989.35,20532.0,15729.0,18092.63,6951.72,45941.47422023579
01/01/2030 14:00:00,5902.3,7470.8,3809.13,1581.5,6039.85,3780.59,985.3,10126.0,42631.0,43691.5175,4219.0,4135.495,3832.695,21812.0,716.0,1229.07,11403.7475,15122.85,4964.1,4736.75,2379.0,1036.79,19693.0,16421.0,18831.74,6948.95,45655.512025163545
