snapshot,EN_NorthEast,EN_NorthWest,EN_Yorkshire,EN_EastMidlands,EN_WestMidlands,EN_East,EN_London,EN_SouthEast,EN_SouthWest,EN_Wales,Scotland,NorthernIreland
2030-05-25 04:00:00,947.8071210991698,2570.1466808493474,1942.856839725163,1747.5412457647542,2017.8501132444517,2212.9297836832866,3213.7268713041763,3192.7913061556756,1986.6962888942492,1268.149046708249,2074.1040412670122,664.6678660803072
2030-05-25 05:00:00,1112.0572519459765,3015.5399673393545,2279.544002163229,2050.3812138208923,2367.533226772111,2596.419207252141,3770.649316142381,3746.085724533175,2330.9806038562624,1487.91279633436,2433.5356730666563,779.851410857595
2030-05-25 06:00:00,1316.1097039149802,3568.8642887889646,2697.819717913194,2426.6076296993983,2801.9541697546456,3072.838658365935,4462.529376389025,4433.458587791308,2758.694470994612,1760.9313427057773,2880.06746823669,922.9470943563704
2030-05-25 07:00:00,1411.1263158593672,3826.5186410069673,2892.5889597707355,2601.796700037969,3004.241404049465,3294.6824131085323,4784.701928407665,4753.532372639633,2957.8585689751208,1888.0618771535285,3087.994096381038,989.5793102338121
2030-05-25 08:00:00,1444.079542928031,3915.877145800201,2960.1379380133994,2662.5549726881654,3074.3977380672545,3371.621250162378,4896.4363403668585,4864.538899761509,3026.931751131085,1932.152708043914,3160.1062591981326,1012.6883907931434
2030-05-25 09:00:00,1448.5691560514083,3928.051526020054,2969.340945007436,2670.832800461321,3083.9559763920784,3382.103550175502,4911.659258632787,4879.662649551128,3036.3424186943776,1938.1597304388256,3169.930963524181,1015.8368178389127
2030-05-25 10:00:00,1457.7053432170226,3952.825913758448,2988.0687044097263,2687.67785632292,3103.4066176632446,3403.434620852252,4942.637302099426,4910.438889045884,3055.4927592357303,1950.383786142465,3189.923852689222,1022.24374377595
2030-05-25 11:00:00,1467.5568426715818,3979.539997310765,3008.2627424906414,2705.8417857197633,3124.3801352149553,3426.4357949008822,4976.040752880675,4943.6247357344355,3076.1424641922818,1963.5649169483374,3211.482073108103,1029.1522961326357
2030-05-25 12:00:00,1451.2319419392988,3935.2721410156837,2974.79924096222,2675.74237337351,3089.6249597599117,3388.320593778267,4920.687959061329,4888.632533237115,3041.9238779637026,1941.7224905301412,3175.757987660376,1017.7041473562097
2030-05-25 13:00:00,1433.585601588056,3887.420967424281,2938.626994220952,2643.2065262437295,3052.056482921701,3347.1201097694625,4860.854563738027,4829.188917753859,3004.935425241674,1918.1120014378394,3137.1421711916832,1005.3293137805923
2030-05-25 14:00:00,1423.9738264576888,3861.356938785485,2918.9243536327726,2625.484594100138,3031.5933305528947,3324.6786414722114,4828.263945531264,4796.810608507384,2984.788205880164,1905.2516175080232,3116.108543992803,998.5888726898606
